geo_id,geography,Population,geography_income,median_income,geography_poverty,Poverty,Below poverty level,Below poverty level - Male,Below poverty level - Female,At or above poverty level,At or above poverty level - Male,At or above poverty level - Female,geography_housing,Housing units,geography_owner_renter,Owner:renter occupancy,Owner occupied,Renter occupied,geography_vehicles,Vehicles available,Owner occupied_vehicles,Owner occupied - No vehicles available,Owner occupied - 1 vehicle available,Renter occupied_vehicles,Renter occupied - No vehicles available,Renter occupied - 1 vehicle available,geography_households,Population_households,Family households,Married-couple family households,Other family households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households,Householder living alone,Householder not living alone
1400000US12095010201,Census Tract 102.01; Orange County; Florida,1958,Census Tract 102.01; Orange County; Florida,85051.0,Census Tract 102.01; Orange County; Florida,1958,209,95,114,1749,969,780,Census Tract 102.01; Orange County; Florida,1557,Census Tract 102.01; Orange County; Florida,1302,511,791,Census Tract 102.01; Orange County; Florida,1302,511,14,314,791,75,510,Census Tract 102.01; Orange County; Florida,1302,412,247,165,15,150,890,769,121
1400000US12095010202,Census Tract 102.02; Orange County; Florida,3988,Census Tract 102.02; Orange County; Florida,101599.0,Census Tract 102.02; Orange County; Florida,3925,489,287,202,3436,1996,1440,Census Tract 102.02; Orange County; Florida,2872,Census Tract 102.02; Orange County; Florida,2539,922,1617,Census Tract 102.02; Orange County; Florida,2539,922,22,327,1617,318,1003,Census Tract 102.02; Orange County; Florida,2539,690,621,69,44,25,1849,1535,314
1400000US12095010300,Census Tract 103; Orange County; Florida,3355,Census Tract 103; Orange County; Florida,54427.0,Census Tract 103; Orange County; Florida,3202,585,163,422,2617,1279,1338,Census Tract 103; Orange County; Florida,2257,Census Tract 103; Orange County; Florida,2137,425,1712,Census Tract 103; Orange County; Florida,2137,425,5,231,1712,474,909,Census Tract 103; Orange County; Florida,2137,396,363,33,27,6,1741,1491,250
1400000US12095010400,Census Tract 104; Orange County; Florida,1141,Census Tract 104; Orange County; Florida,21410.0,Census Tract 104; Orange County; Florida,1141,524,185,339,617,288,329,Census Tract 104; Orange County; Florida,558,Census Tract 104; Orange County; Florida,404,25,379,Census Tract 104; Orange County; Florida,404,25,0,0,379,93,184,Census Tract 104; Orange County; Florida,404,240,24,216,34,182,164,139,25
1400000US12095010500,Census Tract 105; Orange County; Florida,939,Census Tract 105; Orange County; Florida,14820.0,Census Tract 105; Orange County; Florida,939,547,363,184,392,163,229,Census Tract 105; Orange County; Florida,714,Census Tract 105; Orange County; Florida,479,160,319,Census Tract 105; Orange County; Florida,479,160,11,0,319,125,143,Census Tract 105; Orange County; Florida,479,248,65,183,32,151,231,206,25
1400000US12095010802,Census Tract 108.02; Orange County; Florida,3507,Census Tract 108.02; Orange County; Florida,133625.0,Census Tract 108.02; Orange County; Florida,3454,223,130,93,3231,1801,1430,Census Tract 108.02; Orange County; Florida,1737,Census Tract 108.02; Orange County; Florida,1607,1006,601,Census Tract 108.02; Orange County; Florida,1607,1006,10,177,601,36,240,Census Tract 108.02; Orange County; Florida,1607,739,579,160,91,69,868,381,487
1400000US12095011000,Census Tract 110; Orange County; Florida,3207,Census Tract 110; Orange County; Florida,121250.0,Census Tract 110; Orange County; Florida,3207,254,118,136,2953,1434,1519,Census Tract 110; Orange County; Florida,1843,Census Tract 110; Orange County; Florida,1566,772,794,Census Tract 110; Orange County; Florida,1566,772,17,179,794,122,421,Census Tract 110; Orange County; Florida,1566,866,655,211,24,187,700,450,250
1400000US12095011100,Census Tract 111; Orange County; Florida,3333,Census Tract 111; Orange County; Florida,88276.0,Census Tract 111; Orange County; Florida,3333,266,182,84,3067,1498,1569,Census Tract 111; Orange County; Florida,1857,Census Tract 111; Orange County; Florida,1688,981,707,Census Tract 111; Orange County; Florida,1688,981,0,537,707,9,396,Census Tract 111; Orange County; Florida,1688,690,406,284,220,64,998,628,370
1400000US12095011200,Census Tract 112; Orange County; Florida,3233,Census Tract 112; Orange County; Florida,103750.0,Census Tract 112; Orange County; Florida,3231,419,334,85,2812,1726,1086,Census Tract 112; Orange County; Florida,1747,Census Tract 112; Orange County; Florida,1487,1087,400,Census Tract 112; Orange County; Florida,1487,1087,24,337,400,9,274,Census Tract 112; Orange County; Florida,1487,757,570,187,57,130,730,555,175
1400000US12095011300,Census Tract 113; Orange County; Florida,4940,Census Tract 113; Orange County; Florida,124402.0,Census Tract 113; Orange County; Florida,4839,312,74,238,4527,2205,2322,Census Tract 113; Orange County; Florida,2424,Census Tract 113; Orange County; Florida,2259,1718,541,Census Tract 113; Orange County; Florida,2259,1718,85,422,541,16,410,Census Tract 113; Orange County; Florida,2259,1240,1025,215,51,164,1019,775,244
