geo_id,geography,Population,Family households,Married-couple family households,Other family households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households,Householder living alone,Householder not living alone
1400000US12095010201,Census Tract 102.01; Orange County; Florida,1302,412,247,165,15,150,890,769,121
1400000US12095010202,Census Tract 102.02; Orange County; Florida,2539,690,621,69,44,25,1849,1535,314
1400000US12095010300,Census Tract 103; Orange County; Florida,2137,396,363,33,27,6,1741,1491,250
1400000US12095010400,Census Tract 104; Orange County; Florida,404,240,24,216,34,182,164,139,25
1400000US12095010500,Census Tract 105; Orange County; Florida,479,248,65,183,32,151,231,206,25
1400000US12095010802,Census Tract 108.02; Orange County; Florida,1607,739,579,160,91,69,868,381,487
1400000US12095011000,Census Tract 110; Orange County; Florida,1566,866,655,211,24,187,700,450,250
1400000US12095011100,Census Tract 111; Orange County; Florida,1688,690,406,284,220,64,998,628,370
1400000US12095011200,Census Tract 112; Orange County; Florida,1487,757,570,187,57,130,730,555,175
1400000US12095011300,Census Tract 113; Orange County; Florida,2259,1240,1025,215,51,164,1019,775,244
1400000US12095011600,Census Tract 116; Orange County; Florida,1367,969,528,441,193,248,398,286,112
1400000US12095011701,Census Tract 117.01; Orange County; Florida,1349,967,363,604,215,389,382,343,39
1400000US12095011702,Census Tract 117.02; Orange County; Florida,1515,825,453,372,27,345,690,631,59
1400000US12095012000,Census Tract 120; Orange County; Florida,2311,1704,627,1077,312,765,607,478,129
1400000US12095012100,Census Tract 121; Orange County; Florida,2360,1883,702,1181,175,1006,477,317,160
1400000US12095012201,Census Tract 122.01; Orange County; Florida,1687,1253,646,607,162,445,434,278,156
1400000US12095012202,Census Tract 122.02; Orange County; Florida,2011,1663,798,865,268,597,348,229,119
1400000US12095012303,Census Tract 123.03; Orange County; Florida,2528,2223,1615,608,98,510,305,241,64
1400000US12095012304,Census Tract 123.04; Orange County; Florida,2284,1911,1285,626,172,454,373,286,87
1400000US12095012305,Census Tract 123.05; Orange County; Florida,2297,1677,786,891,164,727,620,461,159
1400000US12095012306,Census Tract 123.06; Orange County; Florida,1090,911,683,228,60,168,179,132,47
1400000US12095012307,Census Tract 123.07; Orange County; Florida,2352,1697,753,944,258,686,655,648,7
1400000US12095012402,Census Tract 124.02; Orange County; Florida,2416,956,445,511,132,379,1460,1129,331
1400000US12095012403,Census Tract 124.03; Orange County; Florida,2142,1383,570,813,141,672,759,486,273
1400000US12095012404,Census Tract 124.04; Orange County; Florida,1845,1193,370,823,131,692,652,339,313
1400000US12095012405,Census Tract 124.05; Orange County; Florida,1915,1247,500,747,0,747,668,464,204
1400000US12095012500,Census Tract 125; Orange County; Florida,1089,453,364,89,25,64,636,455,181
1400000US12095012600,Census Tract 126; Orange County; Florida,2407,1402,1307,95,16,79,1005,550,455
1400000US12095012701,Census Tract 127.01; Orange County; Florida,2424,1234,938,296,143,153,1190,747,443
1400000US12095012800,Census Tract 128; Orange County; Florida,1557,1215,1100,115,58,57,342,324,18
1400000US12095012900,Census Tract 129; Orange County; Florida,2021,923,634,289,24,265,1098,682,416
1400000US12095013201,Census Tract 132.01; Orange County; Florida,1511,1099,799,300,96,204,412,241,171
1400000US12095013202,Census Tract 132.02; Orange County; Florida,2849,1720,1103,617,195,422,1129,841,288
1400000US12095013300,Census Tract 133; Orange County; Florida,2660,1725,1270,455,145,310,935,850,85
1400000US12095013402,Census Tract 134.02; Orange County; Florida,1336,1114,697,417,106,311,222,151,71
1400000US12095013403,Census Tract 134.03; Orange County; Florida,1292,804,470,334,111,223,488,346,142
1400000US12095013405,Census Tract 134.05; Orange County; Florida,963,532,216,316,76,240,431,262,169
1400000US12095013406,Census Tract 134.06; Orange County; Florida,1460,1062,533,529,163,366,398,211,187
1400000US12095013503,Census Tract 135.03; Orange County; Florida,981,411,272,139,87,52,570,382,188
1400000US12095013505,Census Tract 135.05; Orange County; Florida,2010,1179,641,538,167,371,831,644,187
1400000US12095013507,Census Tract 135.07; Orange County; Florida,3872,2370,981,1389,219,1170,1502,1028,474
1400000US12095013510,Census Tract 135.10; Orange County; Florida,1063,486,268,218,26,192,577,432,145
1400000US12095013511,Census Tract 135.11; Orange County; Florida,2331,1467,833,634,108,526,864,634,230
1400000US12095013512,Census Tract 135.12; Orange County; Florida,1940,1415,573,842,37,805,525,421,104
1400000US12095013513,Census Tract 135.13; Orange County; Florida,2034,1060,638,422,186,236,974,785,189
1400000US12095013603,Census Tract 136.03; Orange County; Florida,1999,1187,788,399,149,250,812,694,118
1400000US12095013604,Census Tract 136.04; Orange County; Florida,2957,1704,1063,641,207,434,1253,1090,163
1400000US12095013605,Census Tract 136.05; Orange County; Florida,1521,970,479,491,103,388,551,387,164
1400000US12095013606,Census Tract 136.06; Orange County; Florida,1460,1123,688,435,126,309,337,267,70
1400000US12095013607,Census Tract 136.07; Orange County; Florida,2029,1496,1186,310,147,163,533,390,143
1400000US12095013701,Census Tract 137.01; Orange County; Florida,2141,1023,440,583,177,406,1118,819,299
1400000US12095013702,Census Tract 137.02; Orange County; Florida,2233,1319,866,453,124,329,914,737,177
1400000US12095013801,Census Tract 138.01; Orange County; Florida,1016,679,583,96,31,65,337,239,98
1400000US12095013802,Census Tract 138.02; Orange County; Florida,1054,686,565,121,37,84,368,306,62
1400000US12095013803,Census Tract 138.03; Orange County; Florida,1155,828,399,429,103,326,327,296,31
1400000US12095013900,Census Tract 139; Orange County; Florida,2086,1200,785,415,134,281,886,694,192
1400000US12095014000,Census Tract 140; Orange County; Florida,2710,1994,1467,527,116,411,716,608,108
1400000US12095014100,Census Tract 141; Orange County; Florida,2553,1533,1268,265,38,227,1020,859,161
1400000US12095014201,Census Tract 142.01; Orange County; Florida,1960,1393,792,601,176,425,567,370,197
1400000US12095014202,Census Tract 142.02; Orange County; Florida,1608,1146,545,601,157,444,462,360,102
1400000US12095014301,Census Tract 143.01; Orange County; Florida,1587,887,626,261,67,194,700,422,278
1400000US12095014302,Census Tract 143.02; Orange County; Florida,1524,1263,544,719,223,496,261,169,92
1400000US12095014400,Census Tract 144; Orange County; Florida,1222,742,563,179,100,79,480,356,124
1400000US12095014502,Census Tract 145.02; Orange County; Florida,2063,987,458,529,152,377,1076,921,155
1400000US12095014503,Census Tract 145.03; Orange County; Florida,1744,498,204,294,86,208,1246,1218,28
1400000US12095014504,Census Tract 145.04; Orange County; Florida,2862,1538,911,627,166,461,1324,912,412
1400000US12095014601,Census Tract 146.01; Orange County; Florida,2527,1815,720,1095,232,863,712,682,30
1400000US12095014605,Census Tract 146.05; Orange County; Florida,1201,916,362,554,99,455,285,222,63
1400000US12095014606,Census Tract 146.06; Orange County; Florida,3296,2501,1085,1416,431,985,795,676,119
1400000US12095014607,Census Tract 146.07; Orange County; Florida,2823,1488,753,735,184,551,1335,1003,332
