geo_id,geography,Housing units
1400000US12095010201,Census Tract 102.01; Orange County; Florida,1557
1400000US12095010202,Census Tract 102.02; Orange County; Florida,2872
1400000US12095010300,Census Tract 103; Orange County; Florida,2257
1400000US12095010400,Census Tract 104; Orange County; Florida,558
1400000US12095010500,Census Tract 105; Orange County; Florida,714
1400000US12095010802,Census Tract 108.02; Orange County; Florida,1737
1400000US12095011000,Census Tract 110; Orange County; Florida,1843
1400000US12095011100,Census Tract 111; Orange County; Florida,1857
1400000US12095011200,Census Tract 112; Orange County; Florida,1747
1400000US12095011300,Census Tract 113; Orange County; Florida,2424
1400000US12095011600,Census Tract 116; Orange County; Florida,1914
1400000US12095011701,Census Tract 117.01; Orange County; Florida,1779
1400000US12095011702,Census Tract 117.02; Orange County; Florida,1849
1400000US12095012000,Census Tract 120; Orange County; Florida,2437
1400000US12095012100,Census Tract 121; Orange County; Florida,2515
1400000US12095012201,Census Tract 122.01; Orange County; Florida,1971
1400000US12095012202,Census Tract 122.02; Orange County; Florida,2159
1400000US12095012303,Census Tract 123.03; Orange County; Florida,2568
1400000US12095012304,Census Tract 123.04; Orange County; Florida,2373
1400000US12095012305,Census Tract 123.05; Orange County; Florida,2588
1400000US12095012306,Census Tract 123.06; Orange County; Florida,1154
1400000US12095012307,Census Tract 123.07; Orange County; Florida,2352
1400000US12095012402,Census Tract 124.02; Orange County; Florida,2633
1400000US12095012403,Census Tract 124.03; Orange County; Florida,2277
1400000US12095012404,Census Tract 124.04; Orange County; Florida,1983
1400000US12095012405,Census Tract 124.05; Orange County; Florida,2087
1400000US12095012500,Census Tract 125; Orange County; Florida,1298
1400000US12095012600,Census Tract 126; Orange County; Florida,2608
1400000US12095012701,Census Tract 127.01; Orange County; Florida,2655
1400000US12095012800,Census Tract 128; Orange County; Florida,1717
1400000US12095012900,Census Tract 129; Orange County; Florida,2243
1400000US12095013201,Census Tract 132.01; Orange County; Florida,1648
1400000US12095013202,Census Tract 132.02; Orange County; Florida,3033
1400000US12095013300,Census Tract 133; Orange County; Florida,2902
1400000US12095013402,Census Tract 134.02; Orange County; Florida,1512
1400000US12095013403,Census Tract 134.03; Orange County; Florida,1393
1400000US12095013405,Census Tract 134.05; Orange County; Florida,1006
1400000US12095013406,Census Tract 134.06; Orange County; Florida,1483
1400000US12095013503,Census Tract 135.03; Orange County; Florida,1078
1400000US12095013505,Census Tract 135.05; Orange County; Florida,2456
1400000US12095013507,Census Tract 135.07; Orange County; Florida,4189
1400000US12095013510,Census Tract 135.10; Orange County; Florida,1167
1400000US12095013511,Census Tract 135.11; Orange County; Florida,2535
1400000US12095013512,Census Tract 135.12; Orange County; Florida,1950
1400000US12095013513,Census Tract 135.13; Orange County; Florida,2270
1400000US12095013603,Census Tract 136.03; Orange County; Florida,2257
1400000US12095013604,Census Tract 136.04; Orange County; Florida,3213
1400000US12095013605,Census Tract 136.05; Orange County; Florida,1660
1400000US12095013606,Census Tract 136.06; Orange County; Florida,1587
1400000US12095013607,Census Tract 136.07; Orange County; Florida,2133
1400000US12095013701,Census Tract 137.01; Orange County; Florida,2332
1400000US12095013702,Census Tract 137.02; Orange County; Florida,2447
1400000US12095013801,Census Tract 138.01; Orange County; Florida,1193
1400000US12095013802,Census Tract 138.02; Orange County; Florida,1104
1400000US12095013803,Census Tract 138.03; Orange County; Florida,1155
1400000US12095013900,Census Tract 139; Orange County; Florida,2222
1400000US12095014000,Census Tract 140; Orange County; Florida,2792
1400000US12095014100,Census Tract 141; Orange County; Florida,2591
1400000US12095014201,Census Tract 142.01; Orange County; Florida,2051
1400000US12095014202,Census Tract 142.02; Orange County; Florida,1747
1400000US12095014301,Census Tract 143.01; Orange County; Florida,1875
1400000US12095014302,Census Tract 143.02; Orange County; Florida,1909
1400000US12095014400,Census Tract 144; Orange County; Florida,1458
1400000US12095014502,Census Tract 145.02; Orange County; Florida,2678
1400000US12095014503,Census Tract 145.03; Orange County; Florida,2234
1400000US12095014504,Census Tract 145.04; Orange County; Florida,3730
1400000US12095014601,Census Tract 146.01; Orange County; Florida,2945
1400000US12095014605,Census Tract 146.05; Orange County; Florida,1622
1400000US12095014606,Census Tract 146.06; Orange County; Florida,3822
1400000US12095014607,Census Tract 146.07; Orange County; Florida,3638
1400000US12095014608,Census Tract 146.08; Orange County; Florida,2086
