geo_id,geography,Population
1400000US12095010201,Census Tract 102.01; Orange County; Florida,1958
1400000US12095010202,Census Tract 102.02; Orange County; Florida,3988
1400000US12095010300,Census Tract 103; Orange County; Florida,3355
1400000US12095010400,Census Tract 104; Orange County; Florida,1141
1400000US12095010500,Census Tract 105; Orange County; Florida,939
1400000US12095010802,Census Tract 108.02; Orange County; Florida,3507
1400000US12095011000,Census Tract 110; Orange County; Florida,3207
1400000US12095011100,Census Tract 111; Orange County; Florida,3333
1400000US12095011200,Census Tract 112; Orange County; Florida,3233
1400000US12095011300,Census Tract 113; Orange County; Florida,4940
1400000US12095011600,Census Tract 116; Orange County; Florida,3806
1400000US12095011701,Census Tract 117.01; Orange County; Florida,4372
1400000US12095011702,Census Tract 117.02; Orange County; Florida,3854
1400000US12095012000,Census Tract 120; Orange County; Florida,8577
1400000US12095012100,Census Tract 121; Orange County; Florida,7756
1400000US12095012201,Census Tract 122.01; Orange County; Florida,6263
1400000US12095012202,Census Tract 122.02; Orange County; Florida,7266
1400000US12095012303,Census Tract 123.03; Orange County; Florida,9190
1400000US12095012304,Census Tract 123.04; Orange County; Florida,8471
1400000US12095012305,Census Tract 123.05; Orange County; Florida,7344
1400000US12095012306,Census Tract 123.06; Orange County; Florida,3993
1400000US12095012307,Census Tract 123.07; Orange County; Florida,6889
1400000US12095012402,Census Tract 124.02; Orange County; Florida,5130
1400000US12095012403,Census Tract 124.03; Orange County; Florida,6568
1400000US12095012404,Census Tract 124.04; Orange County; Florida,6259
1400000US12095012405,Census Tract 124.05; Orange County; Florida,4854
1400000US12095012500,Census Tract 125; Orange County; Florida,2342
1400000US12095012600,Census Tract 126; Orange County; Florida,5573
1400000US12095012701,Census Tract 127.01; Orange County; Florida,5607
1400000US12095012800,Census Tract 128; Orange County; Florida,3860
1400000US12095012900,Census Tract 129; Orange County; Florida,4113
1400000US12095013201,Census Tract 132.01; Orange County; Florida,4648
1400000US12095013202,Census Tract 132.02; Orange County; Florida,7224
1400000US12095013300,Census Tract 133; Orange County; Florida,6773
1400000US12095013402,Census Tract 134.02; Orange County; Florida,3716
1400000US12095013403,Census Tract 134.03; Orange County; Florida,3432
1400000US12095013405,Census Tract 134.05; Orange County; Florida,2476
1400000US12095013406,Census Tract 134.06; Orange County; Florida,4810
1400000US12095013503,Census Tract 135.03; Orange County; Florida,2300
1400000US12095013505,Census Tract 135.05; Orange County; Florida,5849
1400000US12095013507,Census Tract 135.07; Orange County; Florida,9445
1400000US12095013510,Census Tract 135.10; Orange County; Florida,2403
1400000US12095013511,Census Tract 135.11; Orange County; Florida,6241
1400000US12095013512,Census Tract 135.12; Orange County; Florida,5037
1400000US12095013513,Census Tract 135.13; Orange County; Florida,4490
1400000US12095013603,Census Tract 136.03; Orange County; Florida,4553
1400000US12095013604,Census Tract 136.04; Orange County; Florida,6722
1400000US12095013605,Census Tract 136.05; Orange County; Florida,3746
1400000US12095013606,Census Tract 136.06; Orange County; Florida,4119
1400000US12095013607,Census Tract 136.07; Orange County; Florida,5348
1400000US12095013701,Census Tract 137.01; Orange County; Florida,4050
1400000US12095013702,Census Tract 137.02; Orange County; Florida,5533
1400000US12095013801,Census Tract 138.01; Orange County; Florida,2247
1400000US12095013802,Census Tract 138.02; Orange County; Florida,2450
1400000US12095013803,Census Tract 138.03; Orange County; Florida,2992
1400000US12095013900,Census Tract 139; Orange County; Florida,4746
1400000US12095014000,Census Tract 140; Orange County; Florida,6420
1400000US12095014100,Census Tract 141; Orange County; Florida,6153
1400000US12095014201,Census Tract 142.01; Orange County; Florida,6711
1400000US12095014202,Census Tract 142.02; Orange County; Florida,4580
1400000US12095014301,Census Tract 143.01; Orange County; Florida,4063
1400000US12095014302,Census Tract 143.02; Orange County; Florida,5839
1400000US12095014400,Census Tract 144; Orange County; Florida,3037
1400000US12095014502,Census Tract 145.02; Orange County; Florida,5413
1400000US12095014503,Census Tract 145.03; Orange County; Florida,5395
1400000US12095014504,Census Tract 145.04; Orange County; Florida,6641
1400000US12095014601,Census Tract 146.01; Orange County; Florida,7662
1400000US12095014605,Census Tract 146.05; Orange County; Florida,3892
1400000US12095014606,Census Tract 146.06; Orange County; Florida,9778
1400000US12095014607,Census Tract 146.07; Orange County; Florida,6061
1400000US12095014608,Census Tract 146.08; Orange County; Florida,4835
1400000US12095014609,Census Tract 146.09; Orange County; Florida,5940
1400000US12095014701,Census Tract 147.01; Orange County; Florida,5271
1400000US12095014702,Census Tract 147.02; Orange County; Florida,5960
1400000US12095014703,Census Tract 147.03; Orange County; Florida,2148
1400000US12095014705,Census Tract 147.05; Orange County; Florida,9194
1400000US12095014706,Census Tract 147.06; Orange County; Florida,5879
1400000US12095014804,Census Tract 148.04; Orange County; Florida,5666
1400000US12095014805,Census Tract 148.05; Orange County; Florida,6198
1400000US12095014806,Census Tract 148.06; Orange County; Florida,4852
1400000US12095014807,Census Tract 148.07; Orange County; Florida,8111
1400000US12095014809,Census Tract 148.09; Orange County; Florida,2934
1400000US12095014810,Census Tract 148.10; Orange County; Florida,6599
1400000US12095014811,Census Tract 148.11; Orange County; Florida,4514
1400000US12095014812,Census Tract 148.12; Orange County; Florida,6596
1400000US12095014813,Census Tract 148.13; Orange County; Florida,4422
1400000US12095014814,Census Tract 148.14; Orange County; Florida,6131
1400000US12095014815,Census Tract 148.15; Orange County; Florida,5533
1400000US12095014904,Census Tract 149.04; Orange County; Florida,7574
1400000US12095014906,Census Tract 149.06; Orange County; Florida,6888
1400000US12095014908,Census Tract 149.08; Orange County; Florida,7611
1400000US12095014909,Census Tract 149.09; Orange County; Florida,3742
1400000US12095015001,Census Tract 150.01; Orange County; Florida,1950
1400000US12095015002,Census Tract 150.02; Orange County; Florida,6758
1400000US12095015003,Census Tract 150.03; Orange County; Florida,7374
1400000US12095015005,Census Tract 150.05; Orange County; Florida,3155
1400000US12095015006,Census Tract 150.06; Orange County; Florida,4822
1400000US12095015103,Census Tract 151.03; Orange County; Florida,6971
1400000US12095015104,Census Tract 151.04; Orange County; Florida,6110
1400000US12095015105,Census Tract 151.05; Orange County; Florida,4435
1400000US12095015106,Census Tract 151.06; Orange County; Florida,7559
1400000US12095015202,Census Tract 152.02; Orange County; Florida,6887
1400000US12095015203,Census Tract 152.03; Orange County; Florida,2897
1400000US12095015204,Census Tract 152.04; Orange County; Florida,5986
1400000US12095015300,Census Tract 153; Orange County; Florida,3678
1400000US12095015501,Census Tract 155.01; Orange County; Florida,6127
1400000US12095015601,Census Tract 156.01; Orange County; Florida,2481
1400000US12095015602,Census Tract 156.02; Orange County; Florida,2073
1400000US12095015701,Census Tract 157.01; Orange County; Florida,2211
1400000US12095015702,Census Tract 157.02; Orange County; Florida,1520
1400000US12095015801,Census Tract 158.01; Orange County; Florida,1876
1400000US12095015802,Census Tract 158.02; Orange County; Florida,2822
1400000US12095015901,Census Tract 159.01; Orange County; Florida,2460
1400000US12095016001,Census Tract 160.01; Orange County; Florida,2583
1400000US12095016002,Census Tract 160.02; Orange County; Florida,2510
1400000US12095016100,Census Tract 161; Orange County; Florida,5035
1400000US12095016200,Census Tract 162; Orange County; Florida,6862
1400000US12095016301,Census Tract 163.01; Orange County; Florida,5487
1400000US12095016302,Census Tract 163.02; Orange County; Florida,4067
1400000US12095016402,Census Tract 164.02; Orange County; Florida,2796
1400000US12095016406,Census Tract 164.06; Orange County; Florida,1690
1400000US12095016407,Census Tract 164.07; Orange County; Florida,7461
1400000US12095016408,Census Tract 164.08; Orange County; Florida,2235
1400000US12095016409,Census Tract 164.09; Orange County; Florida,3027
1400000US12095016411,Census Tract 164.11; Orange County; Florida,4715
1400000US12095016412,Census Tract 164.12; Orange County; Florida,5132
