geo_id,geography,Poverty,Below poverty level,Below poverty level - Male,Below poverty level - Female,At or above poverty level,At or above poverty level - Male,At or above poverty level - Female
1400000US12095010201,Census Tract 102.01; Orange County; Florida,1958,209,95,114,1749,969,780
1400000US12095010202,Census Tract 102.02; Orange County; Florida,3925,489,287,202,3436,1996,1440
1400000US12095010300,Census Tract 103; Orange County; Florida,3202,585,163,422,2617,1279,1338
1400000US12095010400,Census Tract 104; Orange County; Florida,1141,524,185,339,617,288,329
1400000US12095010500,Census Tract 105; Orange County; Florida,939,547,363,184,392,163,229
1400000US12095010802,Census Tract 108.02; Orange County; Florida,3454,223,130,93,3231,1801,1430
1400000US12095011000,Census Tract 110; Orange County; Florida,3207,254,118,136,2953,1434,1519
1400000US12095011100,Census Tract 111; Orange County; Florida,3333,266,182,84,3067,1498,1569
1400000US12095011200,Census Tract 112; Orange County; Florida,3231,419,334,85,2812,1726,1086
1400000US12095011300,Census Tract 113; Orange County; Florida,4839,312,74,238,4527,2205,2322
1400000US12095011600,Census Tract 116; Orange County; Florida,3806,337,251,86,3469,1858,1611
1400000US12095011701,Census Tract 117.01; Orange County; Florida,4249,601,184,417,3648,1472,2176
1400000US12095011702,Census Tract 117.02; Orange County; Florida,3854,618,189,429,3236,1622,1614
1400000US12095012000,Census Tract 120; Orange County; Florida,8403,1538,791,747,6865,3575,3290
1400000US12095012100,Census Tract 121; Orange County; Florida,7745,1591,668,923,6154,2711,3443
1400000US12095012201,Census Tract 122.01; Orange County; Florida,6113,1229,883,346,4884,2585,2299
1400000US12095012202,Census Tract 122.02; Orange County; Florida,7234,982,382,600,6252,3328,2924
1400000US12095012303,Census Tract 123.03; Orange County; Florida,9151,1893,701,1192,7258,3140,4118
1400000US12095012304,Census Tract 123.04; Orange County; Florida,8471,1185,657,528,7286,2663,4623
1400000US12095012305,Census Tract 123.05; Orange County; Florida,7344,1353,698,655,5991,2803,3188
1400000US12095012306,Census Tract 123.06; Orange County; Florida,3976,300,125,175,3676,1835,1841
1400000US12095012307,Census Tract 123.07; Orange County; Florida,6868,1604,671,933,5264,2254,3010
1400000US12095012402,Census Tract 124.02; Orange County; Florida,4982,1389,362,1027,3593,1882,1711
1400000US12095012403,Census Tract 124.03; Orange County; Florida,6560,1611,787,824,4949,2032,2917
1400000US12095012404,Census Tract 124.04; Orange County; Florida,6124,824,339,485,5300,2674,2626
1400000US12095012405,Census Tract 124.05; Orange County; Florida,4852,742,345,397,4110,1922,2188
1400000US12095012500,Census Tract 125; Orange County; Florida,2342,306,240,66,2036,1046,990
1400000US12095012600,Census Tract 126; Orange County; Florida,5523,32,19,13,5491,2766,2725
1400000US12095012701,Census Tract 127.01; Orange County; Florida,5299,887,339,548,4412,2302,2110
1400000US12095012800,Census Tract 128; Orange County; Florida,3844,140,68,72,3704,1776,1928
1400000US12095012900,Census Tract 129; Orange County; Florida,4083,221,149,72,3862,1456,2406
1400000US12095013201,Census Tract 132.01; Orange County; Florida,4616,930,360,570,3686,2046,1640
1400000US12095013202,Census Tract 132.02; Orange County; Florida,7195,737,318,419,6458,3452,3006
1400000US12095013300,Census Tract 133; Orange County; Florida,6697,1130,508,622,5567,2908,2659
1400000US12095013402,Census Tract 134.02; Orange County; Florida,3716,320,111,209,3396,1815,1581
1400000US12095013403,Census Tract 134.03; Orange County; Florida,3432,816,348,468,2616,1621,995
1400000US12095013405,Census Tract 134.05; Orange County; Florida,2476,614,302,312,1862,959,903
1400000US12095013406,Census Tract 134.06; Orange County; Florida,4810,518,223,295,4292,2644,1648
1400000US12095013503,Census Tract 135.03; Orange County; Florida,2300,527,242,285,1773,862,911
1400000US12095013505,Census Tract 135.05; Orange County; Florida,5849,1162,583,579,4687,1546,3141
1400000US12095013507,Census Tract 135.07; Orange County; Florida,9445,1976,1001,975,7469,3540,3929
1400000US12095013510,Census Tract 135.10; Orange County; Florida,2403,420,172,248,1983,934,1049
1400000US12095013511,Census Tract 135.11; Orange County; Florida,6241,1086,214,872,5155,2512,2643
1400000US12095013512,Census Tract 135.12; Orange County; Florida,5037,975,404,571,4062,2069,1993
1400000US12095013513,Census Tract 135.13; Orange County; Florida,4490,830,347,483,3660,1793,1867
1400000US12095013603,Census Tract 136.03; Orange County; Florida,4439,832,307,525,3607,1463,2144
1400000US12095013604,Census Tract 136.04; Orange County; Florida,6722,1443,522,921,5279,2909,2370
1400000US12095013605,Census Tract 136.05; Orange County; Florida,3706,790,297,493,2916,1503,1413
1400000US12095013606,Census Tract 136.06; Orange County; Florida,4119,997,447,550,3122,1559,1563
1400000US12095013607,Census Tract 136.07; Orange County; Florida,5348,555,244,311,4793,2491,2302
1400000US12095013701,Census Tract 137.01; Orange County; Florida,4040,872,375,497,3168,1624,1544
1400000US12095013702,Census Tract 137.02; Orange County; Florida,5533,448,86,362,5085,2714,2371
1400000US12095013801,Census Tract 138.01; Orange County; Florida,2167,135,52,83,2032,970,1062
1400000US12095013802,Census Tract 138.02; Orange County; Florida,2431,200,144,56,2231,1091,1140
1400000US12095013803,Census Tract 138.03; Orange County; Florida,2992,383,117,266,2609,1181,1428
1400000US12095013900,Census Tract 139; Orange County; Florida,4746,401,163,238,4345,1949,2396
