STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,geo_id,geography,Population,geography_income,median_income,geography_poverty,Poverty,Below poverty level,Below poverty level - Male,Below poverty level - Female,At or above poverty level,At or above poverty level - Male,At or above poverty level - Female,geography_housing,Housing units,geography_owner_renter,Owner:renter occupancy,Owner occupied,Renter occupied,geography_vehicles,Vehicles available,Owner occupied_vehicles,Owner occupied - No vehicles available,Owner occupied - 1 vehicle available,Renter occupied_vehicles,Renter occupied - No vehicles available,Renter occupied - 1 vehicle available,geography_households,Population_households,Family households,Married-couple family households,Other family households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households,Householder living alone,Householder not living alone,grocery_stores,grocery_stores_per_1000,area_sq_miles,population_density,poverty_rate,apartment_count,major_retailers,major_road_segments,road_access_score,population_score,income_score,apartment_score,competition_score,opportunity_score
12,095,016748,12095016748,1400000US12095016748,167.48,Census Tract 167.48,G5020,S,3018644,113078,+28.5310895,-081.1583165,1400000US12095016748,Census Tract 167.48; Orange County; Florida,7250,Census Tract 167.48; Orange County; Florida,120342.0,Census Tract 167.48; Orange County; Florida,7250,669,216,453,6581,3150,3431,Census Tract 167.48; Orange County; Florida,2265,Census Tract 167.48; Orange County; Florida,2265,1783,482,Census Tract 167.48; Orange County; Florida,2265,1783,0,564,482,0,241,Census Tract 167.48; Orange County; Florida,2265,2037,1665,372,134,238,228,174,54,0.0,0.0,1.2082045931396928,6000.639329767681,9.227586206896552,101.0,0.0,0.0,0.11797752808988764,0.8164794007490637,0.8522727272727273,0.9850187265917603,0.8745318352059925,0.8747616615594145
12,095,017401,12095017401,1400000US12095017401,174.01,Census Tract 174.01,G5020,S,8354788,2975460,+28.5858838,-081.5734757,1400000US12095017401,Census Tract 174.01; Orange County; Florida,8093,Census Tract 174.01; Orange County; Florida,109653.0,Census Tract 174.01; Orange County; Florida,7958,687,497,190,7271,3781,3490,Census Tract 174.01; Orange County; Florida,2871,Census Tract 174.01; Orange County; Florida,2609,2031,578,Census Tract 174.01; Orange County; Florida,2609,2031,17,612,578,38,229,Census Tract 174.01; Orange County; Florida,2609,2183,1789,394,51,343,426,367,59,0.0,0.0,4.3714735885159275,1851.3208043303068,8.632822317165118,5.0,0.0,32.0,0.6947565543071161,0.8838951310861424,0.7651515151515151,0.7340823970037453,0.8745318352059925,0.8273748723186927
12,095,017120,12095017120,1400000US12095017120,171.20,Census Tract 171.20,G5020,S,8387695,919268,+28.5159386,-081.5681542,1400000US12095017120,Census Tract 171.20; Orange County; Florida,6402,Census Tract 171.20; Orange County; Florida,184514.0,Census Tract 171.20; Orange County; Florida,6402,60,31,29,6342,3137,3205,Census Tract 171.20; Orange County; Florida,2563,Census Tract 171.20; Orange County; Florida,2197,1757,440,Census Tract 171.20; Orange County; Florida,2197,1757,15,184,440,0,350,Census Tract 171.20; Orange County; Florida,2197,1699,1424,275,77,198,498,498,0,0.0,0.0,3.590837390373675,1782.8710420478787,0.937207122774133,9.0,0.0,19.0,0.5243445692883895,0.700374531835206,0.9772727272727273,0.7808988764044944,0.8745318352059925,0.824106230847804
12,095,016749,12095016749,1400000US12095016749,167.49,Census Tract 167.49,G5020,S,3777511,84220,+28.5187289,-081.1686572,1400000US12095016749,Census Tract 167.49; Orange County; Florida,6330,Census Tract 167.49; Orange County; Florida,124511.0,Census Tract 167.49; Orange County; Florida,6318,771,150,621,5547,3191,2356,Census Tract 167.49; Orange County; Florida,2113,Census Tract 167.49; Orange County; Florida,2113,1269,844,Census Tract 167.49; Orange County; Florida,2113,1269,0,130,844,0,225,Census Tract 167.49; Orange County; Florida,2113,1656,1230,426,136,290,457,393,64,0.0,0.0,1.4898396162527827,4248.779486694749,12.203228869895536,3.0,0.0,0.0,0.11797752808988764,0.6853932584269663,0.8863636363636364,0.702247191011236,0.8745318352059925,0.7856996935648621
12,095,016747,12095016747,1400000US12095016747,167.47,Census Tract 167.47,G5020,S,4851886,232432,+28.5288932,-081.1814156,1400000US12095016747,Census Tract 167.47; Orange County; Florida,5719,Census Tract 167.47; Orange County; Florida,145575.0,Census Tract 167.47; Orange County; Florida,5719,166,89,77,5553,2953,2600,Census Tract 167.47; Orange County; Florida,1970,Census Tract 167.47; Orange County; Florida,1893,1638,255,Census Tract 167.47; Orange County; Florida,1893,1638,0,167,255,0,80,Census Tract 167.47; Orange County; Florida,1893,1779,1630,149,55,94,114,66,48,0.0,0.0,1.9615104698371286,2915.6102340227985,2.902605350585767,10.0,0.0,0.0,0.11797752808988764,0.5917602996254682,0.9356060606060606,0.7902621722846442,0.8745318352059925,0.7850612870275793
12,095,016737,12095016737,1400000US12095016737,167.37,Census Tract 167.37,G5020,S,355180765,5514965,+28.4236711,-081.0319036,1400000US12095016737,Census Tract 167.37; Orange County; Florida,12795,Census Tract 167.37; Orange County; Florida,118326.0,Census Tract 167.37; Orange County; Florida,12795,725,560,165,12070,6143,5927,Census Tract 167.37; Orange County; Florida,4184,Census Tract 167.37; Orange County; Florida,4057,3052,1005,Census Tract 167.37; Orange County; Florida,4057,3052,98,473,1005,0,272,Census Tract 167.37; Orange County; Florida,4057,3653,3016,637,160,477,404,256,148,2.0,0.15631105900742479,139.1543838075639,91.94823511772478,5.666275889019149,5.0,1.0,51.0,0.8314606741573034,0.9775280898876404,0.8333333333333334,0.7340823970037453,0.5674157303370786,0.7769662921348315
12,095,017812,12095017812,1400000US12095017812,178.12,Census Tract 178.12,G5020,S,5720347,558834,+28.7014571,-081.5328097,1400000US12095017812,Census Tract 178.12; Orange County; Florida,8876,Census Tract 178.12; Orange County; Florida,113492.0,Census Tract 178.12; Orange County; Florida,8876,787,342,445,8089,3870,4219,Census Tract 178.12; Orange County; Florida,3037,Census Tract 178.12; Orange County; Florida,2896,2348,548,Census Tract 178.12; Orange County; Florida,2896,2348,16,439,548,40,236,Census Tract 178.12; Orange County; Florida,2896,2402,1932,470,91,379,494,373,121,0.0,0.0,2.422629770951352,3663.787222640482,8.866606579540333,0.0,0.0,0.0,0.11797752808988764,0.9138576779026217,0.7840909090909091,0.3052434456928839,0.8745318352059925,0.7543837248893429
12,095,017814,12095017814,1400000US12095017814,178.14,Census Tract 178.14,G5020,S,10508033,14258,+28.7526090,-081.5219603,1400000US12095017814,Census Tract 178.14; Orange County; Florida,7218,Census Tract 178.14; Orange County; Florida,135497.0,Census Tract 178.14; Orange County; Florida,7206,1021,388,633,6185,2897,3288,Census Tract 178.14; Orange County; Florida,2282,Census Tract 178.14; Orange County; Florida,2173,1836,337,Census Tract 178.14; Orange County; Florida,2173,1836,40,364,337,0,58,Census Tract 178.14; Orange County; Florida,2173,1912,1540,372,158,214,261,173,88,0.0,0.0,4.059692807743677,1777.9670388439235,14.168748265334443,0.0,0.0,0.0,0.11797752808988764,0.8089887640449438,0.928030303030303,0.3052434456928839,0.8745318352059925,0.7517109295199182
12,095,018202,12095018202,1400000US12095018202,182.02,Census Tract 182.02,G5020,S,1583430,724491,+28.5718160,-081.3172641,1400000US12095018202,Census Tract 182.02; Orange County; Florida,4423,Census Tract 182.02; Orange County; Florida,129231.0,Census Tract 182.02; Orange County; Florida,4337,416,172,244,3921,1983,1938,Census Tract 182.02; Orange County; Florida,2103,Census Tract 182.02; Orange County; Florida,2030,653,1377,Census Tract 182.02; Orange County; Florida,2030,653,0,251,1377,20,695,Census Tract 182.02; Orange County; Florida,2030,868,692,176,125,51,1162,724,438,0.0,0.0,0.8904025356389309,4967.416222401213,9.59188379063869,71.0,0.0,0.0,0.11797752808988764,0.3782771535580524,0.9090909090909091,0.9662921348314607,0.8745318352059925,0.7509193054136875
12,095,017114,12095017114,1400000US12095017114,171.14,Census Tract 171.14,G5020,S,8004875,1325348,+28.4853869,-081.5921753,1400000US12095017114,Census Tract 171.14; Orange County; Florida,10387,Census Tract 171.14; Orange County; Florida,120799.0,Census Tract 171.14; Orange County; Florida,10387,850,233,617,9537,4856,4681,Census Tract 171.14; Orange County; Florida,3768,Census Tract 171.14; Orange County; Florida,3391,2133,1258,Census Tract 171.14; Orange County; Florida,3391,2133,0,456,1258,30,594,Census Tract 171.14; Orange County; Florida,3391,2528,2012,516,148,368,863,558,305,6.0,0.5776451333397515,3.5998414259882656,2885.4048750629213,8.183306055646481,65.0,1.0,20.0,0.5393258426966292,0.951310861423221,0.8560606060606061,0.9550561797752809,0.33333333333333337,0.7476166155941437
