geo_id,geography,Vehicles available,Owner occupied,Owner occupied - No vehicles available,Owner occupied - 1 vehicle available,Renter occupied,Renter occupied - No vehicles available,Renter occupied - 1 vehicle available
1400000US12095010201,Census Tract 102.01; Orange County; Florida,1302,511,14,314,791,75,510
1400000US12095010202,Census Tract 102.02; Orange County; Florida,2539,922,22,327,1617,318,1003
1400000US12095010300,Census Tract 103; Orange County; Florida,2137,425,5,231,1712,474,909
1400000US12095010400,Census Tract 104; Orange County; Florida,404,25,0,0,379,93,184
1400000US12095010500,Census Tract 105; Orange County; Florida,479,160,11,0,319,125,143
1400000US12095010802,Census Tract 108.02; Orange County; Florida,1607,1006,10,177,601,36,240
1400000US12095011000,Census Tract 110; Orange County; Florida,1566,772,17,179,794,122,421
1400000US12095011100,Census Tract 111; Orange County; Florida,1688,981,0,537,707,9,396
1400000US12095011200,Census Tract 112; Orange County; Florida,1487,1087,24,337,400,9,274
1400000US12095011300,Census Tract 113; Orange County; Florida,2259,1718,85,422,541,16,410
1400000US12095011600,Census Tract 116; Orange County; Florida,1367,765,63,79,602,139,336
1400000US12095011701,Census Tract 117.01; Orange County; Florida,1349,826,40,209,523,81,237
1400000US12095011702,Census Tract 117.02; Orange County; Florida,1515,564,11,207,951,224,478
1400000US12095012000,Census Tract 120; Orange County; Florida,2311,1004,4,489,1307,146,740
1400000US12095012100,Census Tract 121; Orange County; Florida,2360,895,120,239,1465,181,734
1400000US12095012201,Census Tract 122.01; Orange County; Florida,1687,913,14,296,774,27,199
1400000US12095012202,Census Tract 122.02; Orange County; Florida,2011,1261,44,197,750,122,201
1400000US12095012303,Census Tract 123.03; Orange County; Florida,2528,1882,109,251,646,65,91
1400000US12095012304,Census Tract 123.04; Orange County; Florida,2284,1445,31,316,839,55,406
1400000US12095012305,Census Tract 123.05; Orange County; Florida,2297,1446,142,543,851,233,388
1400000US12095012306,Census Tract 123.06; Orange County; Florida,1090,942,38,257,148,31,27
1400000US12095012307,Census Tract 123.07; Orange County; Florida,2352,1074,130,228,1278,255,731
1400000US12095012402,Census Tract 124.02; Orange County; Florida,2416,230,0,104,2186,288,1311
