"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US12","Florida","22416077","*****",
"1400000US12001000201","Census Tract 2.01; Alachua County; Florida","5284","978",
"1400000US12001000202","Census Tract 2.02; Alachua County; Florida","5751","902",
"1400000US12001000301","Census Tract 3.01; Alachua County; Florida","4210","765",
"1400000US12001000302","Census Tract 3.02; Alachua County; Florida","2515","438",
"1400000US12001000400","Census Tract 4; Alachua County; Florida","5563","864",
"1400000US12001000500","Census Tract 5; Alachua County; Florida","4982","767",
"1400000US12001000600","Census Tract 6; Alachua County; Florida","4391","699",
"1400000US12001000700","Census Tract 7; Alachua County; Florida","6633","1057",
"1400000US12001000806","Census Tract 8.06; Alachua County; Florida","3372","632",
"1400000US12001000808","Census Tract 8.08; Alachua County; Florida","4107","786",
"1400000US12001000809","Census Tract 8.09; Alachua County; Florida","1393","261",
"1400000US12001000901","Census Tract 9.01; Alachua County; Florida","3577","231",
"1400000US12001000902","Census Tract 9.02; Alachua County; Florida","8723","192",
"1400000US12001001000","Census Tract 10; Alachua County; Florida","7591","975",
"1400000US12001001100","Census Tract 11; Alachua County; Florida","6715","662",
"1400000US12001001201","Census Tract 12.01; Alachua County; Florida","2785","386",
"1400000US12001001202","Census Tract 12.02; Alachua County; Florida","7269","762",
"1400000US12001001203","Census Tract 12.03; Alachua County; Florida","3786","588",
"1400000US12001001400","Census Tract 14; Alachua County; Florida","3806","553",
"1400000US12001001514","Census Tract 15.14; Alachua County; Florida","1925","335",
"1400000US12001001515","Census Tract 15.15; Alachua County; Florida","6125","783",
"1400000US12001001516","Census Tract 15.16; Alachua County; Florida","2679","464",
"1400000US12001001517","Census Tract 15.17; Alachua County; Florida","5766","712",
"1400000US12001001519","Census Tract 15.19; Alachua County; Florida","2538","371",
"1400000US12001001522","Census Tract 15.22; Alachua County; Florida","8320","1149",
"1400000US12001001605","Census Tract 16.05; Alachua County; Florida","9066","1407",
"1400000US12001001701","Census Tract 17.01; Alachua County; Florida","6726","737",
"1400000US12001001702","Census Tract 17.02; Alachua County; Florida","5336","785",
"1400000US12001001802","Census Tract 18.02; Alachua County; Florida","3443","673",
"1400000US12001001803","Census Tract 18.03; Alachua County; Florida","6284","794",
"1400000US12001001811","Census Tract 18.11; Alachua County; Florida","6770","811",
"1400000US12001001813","Census Tract 18.13; Alachua County; Florida","4010","493",
"1400000US12001001815","Census Tract 18.15; Alachua County; Florida","2055","395",
"1400000US12001001816","Census Tract 18.16; Alachua County; Florida","5996","753",
"1400000US12001001817","Census Tract 18.17; Alachua County; Florida","4738","605",
"1400000US12001001818","Census Tract 18.18; Alachua County; Florida","5160","810",
"1400000US12001001819","Census Tract 18.19; Alachua County; Florida","4760","489",
"1400000US12001001902","Census Tract 19.02; Alachua County; Florida","4035","730",
"1400000US12001001907","Census Tract 19.07; Alachua County; Florida","2478","433",
"1400000US12001001908","Census Tract 19.08; Alachua County; Florida","5439","885",
"1400000US12001002001","Census Tract 20.01; Alachua County; Florida","1386","259",
"1400000US12001002002","Census Tract 20.02; Alachua County; Florida","3940","574",
"1400000US12001002101","Census Tract 21.01; Alachua County; Florida","1974","306",
"1400000US12001002102","Census Tract 21.02; Alachua County; Florida","1021","174",
"1400000US12001002201","Census Tract 22.01; Alachua County; Florida","6871","861",
"1400000US12001002202","Census Tract 22.02; Alachua County; Florida","6494","922",
"1400000US12001002204","Census Tract 22.04; Alachua County; Florida","12795","1274",
"1400000US12001002207","Census Tract 22.07; Alachua County; Florida","3954","557",
"1400000US12001002208","Census Tract 22.08; Alachua County; Florida","3119","474",
"1400000US12001002209","Census Tract 22.09; Alachua County; Florida","8368","992",
"1400000US12001002210","Census Tract 22.10; Alachua County; Florida","4861","686",
"1400000US12001002217","Census Tract 22.17; Alachua County; Florida","6913","1240",
"1400000US12001002218","Census Tract 22.18; Alachua County; Florida","3343","309",
"1400000US12001002219","Census Tract 22.19; Alachua County; Florida","6642","832",
"1400000US12001002220","Census Tract 22.20; Alachua County; Florida","2769","441",
"1400000US12001002221","Census Tract 22.21; Alachua County; Florida","5643","884",
"1400000US12001002222","Census Tract 22.22; Alachua County; Florida","7178","772",
"1400000US12001110800","Census Tract 1108; Alachua County; Florida","2119","254",
"1400000US12003040101","Census Tract 401.01; Baker County; Florida","8450","1272",
"1400000US12003040102","Census Tract 401.02; Baker County; Florida","8055","839",
"1400000US12003040201","Census Tract 402.01; Baker County; Florida","6438","779",
"1400000US12003040202","Census Tract 402.02; Baker County; Florida","5487","665",
"1400000US12005000201","Census Tract 2.01; Bay County; Florida","6110","646",
"1400000US12005000203","Census Tract 2.03; Bay County; Florida","3008","567",
"1400000US12005000204","Census Tract 2.04; Bay County; Florida","3785","548",
"1400000US12005000301","Census Tract 3.01; Bay County; Florida","2873","817",
"1400000US12005000302","Census Tract 3.02; Bay County; Florida","7617","1084",
"1400000US12005000401","Census Tract 4.01; Bay County; Florida","2088","331",
"1400000US12005000402","Census Tract 4.02; Bay County; Florida","7471","963",
"1400000US12005000500","Census Tract 5; Bay County; Florida","8490","978",
"1400000US12005000600","Census Tract 6; Bay County; Florida","1099","184",
"1400000US12005000700","Census Tract 7; Bay County; Florida","447","131",
"1400000US12005000803","Census Tract 8.03; Bay County; Florida","3876","411",
"1400000US12005000804","Census Tract 8.04; Bay County; Florida","2839","616",
"1400000US12005000805","Census Tract 8.05; Bay County; Florida","3943","469",
"1400000US12005000806","Census Tract 8.06; Bay County; Florida","4047","433",
"1400000US12005000900","Census Tract 9; Bay County; Florida","4474","39",
"1400000US12005001000","Census Tract 10; Bay County; Florida","1878","329",
"1400000US12005001100","Census Tract 11; Bay County; Florida","4046","483",
"1400000US12005001200","Census Tract 12; Bay County; Florida","2565","541",
"1400000US12005001301","Census Tract 13.01; Bay County; Florida","5678","712",
"1400000US12005001302","Census Tract 13.02; Bay County; Florida","6958","871",
"1400000US12005001402","Census Tract 14.02; Bay County; Florida","7192","1059",
"1400000US12005001403","Census Tract 14.03; Bay County; Florida","1890","432",
"1400000US12005001404","Census Tract 14.04; Bay County; Florida","7053","915",
"1400000US12005001501","Census Tract 15.01; Bay County; Florida","5859","596",
"1400000US12005001502","Census Tract 15.02; Bay County; Florida","5555","717",
"1400000US12005001600","Census Tract 16; Bay County; Florida","2219","562",
"1400000US12005001700","Census Tract 17; Bay County; Florida","2630","412",
"1400000US12005001800","Census Tract 18; Bay County; Florida","1267","240",
"1400000US12005001900","Census Tract 19; Bay County; Florida","3931","462",
"1400000US12005002000","Census Tract 20; Bay County; Florida","1257","232",
"1400000US12005002200","Census Tract 22; Bay County; Florida","4398","605",
"1400000US12005002300","Census Tract 23; Bay County; Florida","3868","413",
"1400000US12005002400","Census Tract 24; Bay County; Florida","4543","477",
"1400000US12005002500","Census Tract 25; Bay County; Florida","3031","569",
"1400000US12005002604","Census Tract 26.04; Bay County; Florida","7541","1040",
"1400000US12005002605","Census Tract 26.05; Bay County; Florida","1681","382",
"1400000US12005002606","Census Tract 26.06; Bay County; Florida","1546","215",
"1400000US12005002607","Census Tract 26.07; Bay County; Florida","1081","222",
"1400000US12005002608","Census Tract 26.08; Bay County; Florida","4033","698",
"1400000US12005002609","Census Tract 26.09; Bay County; Florida","5658","760",
"1400000US12005002703","Census Tract 27.03; Bay County; Florida","3592","515",
"1400000US12005002706","Census Tract 27.06; Bay County; Florida","2332","443",
"1400000US12005002707","Census Tract 27.07; Bay County; Florida","2449","337",
"1400000US12005002708","Census Tract 27.08; Bay County; Florida","751","190",
"1400000US12005002709","Census Tract 27.09; Bay County; Florida","3584","685",
"1400000US12005002710","Census Tract 27.10; Bay County; Florida","7882","978",
"1400000US12005002711","Census Tract 27.11; Bay County; Florida","2928","442",
"1400000US12005002712","Census Tract 27.12; Bay County; Florida","2125","280",
"1400000US12005002713","Census Tract 27.13; Bay County; Florida","1225","257",
"1400000US12005990000","Census Tract 9900; Bay County; Florida","0","15",
"1400000US12007000100","Census Tract 1; Bradford County; Florida","5788","667",
"1400000US12007000201","Census Tract 2.01; Bradford County; Florida","4993","488",
"1400000US12007000202","Census Tract 2.02; Bradford County; Florida","3511","527",
"1400000US12007000301","Census Tract 3.01; Bradford County; Florida","4187","467",
"1400000US12007000302","Census Tract 3.02; Bradford County; Florida","3482","814",
"1400000US12007000400","Census Tract 4; Bradford County; Florida","5924","763",
"1400000US12009060103","Census Tract 601.03; Brevard County; Florida","2748","454",
"1400000US12009060104","Census Tract 601.04; Brevard County; Florida","1290","497",
"1400000US12009060105","Census Tract 601.05; Brevard County; Florida","2254","360",
"1400000US12009060106","Census Tract 601.06; Brevard County; Florida","1686","270",
"1400000US12009060201","Census Tract 602.01; Brevard County; Florida","2600","631",
"1400000US12009060202","Census Tract 602.02; Brevard County; Florida","2919","718",
"1400000US12009060301","Census Tract 603.01; Brevard County; Florida","2332","484",
"1400000US12009060302","Census Tract 603.02; Brevard County; Florida","2729","418",
"1400000US12009060400","Census Tract 604; Brevard County; Florida","4390","636",
"1400000US12009060500","Census Tract 605; Brevard County; Florida","4844","713",
"1400000US12009060600","Census Tract 606; Brevard County; Florida","5959","784",
"1400000US12009060700","Census Tract 607; Brevard County; Florida","2449","546",
"1400000US12009061001","Census Tract 610.01; Brevard County; Florida","6584","1015",
"1400000US12009061002","Census Tract 610.02; Brevard County; Florida","2770","450",
"1400000US12009061100","Census Tract 611; Brevard County; Florida","6568","1067",
"1400000US12009061201","Census Tract 612.01; Brevard County; Florida","8997","1027",
"1400000US12009061202","Census Tract 612.02; Brevard County; Florida","3658","394",
"1400000US12009062106","Census Tract 621.06; Brevard County; Florida","3572","463",
"1400000US12009062108","Census Tract 621.08; Brevard County; Florida","7772","1488",
"1400000US12009062109","Census Tract 621.09; Brevard County; Florida","4328","502",
"1400000US12009062110","Census Tract 621.10; Brevard County; Florida","3206","470",
"1400000US12009062111","Census Tract 621.11; Brevard County; Florida","3708","478",
"1400000US12009062112","Census Tract 621.12; Brevard County; Florida","1395","192",
"1400000US12009062113","Census Tract 621.13; Brevard County; Florida","6137","624",
"1400000US12009062114","Census Tract 621.14; Brevard County; Florida","2042","317",
"1400000US12009062115","Census Tract 621.15; Brevard County; Florida","2102","549",
"1400000US12009062301","Census Tract 623.01; Brevard County; Florida","2654","496",
"1400000US12009062302","Census Tract 623.02; Brevard County; Florida","3553","1146",
"1400000US12009062401","Census Tract 624.01; Brevard County; Florida","1817","415",
"1400000US12009062402","Census Tract 624.02; Brevard County; Florida","5172","1084",
"1400000US12009062500","Census Tract 625; Brevard County; Florida","4321","642",
"1400000US12009062600","Census Tract 626; Brevard County; Florida","3396","692",
"1400000US12009062800","Census Tract 628; Brevard County; Florida","4019","725",
"1400000US12009062900","Census Tract 629; Brevard County; Florida","6205","831",
"1400000US12009063000","Census Tract 630; Brevard County; Florida","4958","731",
"1400000US12009063102","Census Tract 631.02; Brevard County; Florida","8298","999",
"1400000US12009063104","Census Tract 631.04; Brevard County; Florida","4055","397",
"1400000US12009063105","Census Tract 631.05; Brevard County; Florida","9906","972",
"1400000US12009063106","Census Tract 631.06; Brevard County; Florida","5732","1449",
"1400000US12009063108","Census Tract 631.08; Brevard County; Florida","5473","707",
"1400000US12009063109","Census Tract 631.09; Brevard County; Florida","5096","918",
"1400000US12009064102","Census Tract 641.02; Brevard County; Florida","5652","612",
"1400000US12009064123","Census Tract 641.23; Brevard County; Florida","6696","674",
"1400000US12009064124","Census Tract 641.24; Brevard County; Florida","4625","498",
"1400000US12009064126","Census Tract 641.26; Brevard County; Florida","4495","489",
"1400000US12009064127","Census Tract 641.27; Brevard County; Florida","9133","1105",
"1400000US12009064128","Census Tract 641.28; Brevard County; Florida","11712","1021",
"1400000US12009064129","Census Tract 641.29; Brevard County; Florida","2534","695",
"1400000US12009064130","Census Tract 641.30; Brevard County; Florida","3215","397",
"1400000US12009064201","Census Tract 642.01; Brevard County; Florida","2528","421",
"1400000US12009064202","Census Tract 642.02; Brevard County; Florida","2921","407",
"1400000US12009064301","Census Tract 643.01; Brevard County; Florida","5396","694",
"1400000US12009064302","Census Tract 643.02; Brevard County; Florida","5950","1044",
"1400000US12009064400","Census Tract 644; Brevard County; Florida","5670","800",
"1400000US12009064500","Census Tract 645; Brevard County; Florida","4001","552",
"1400000US12009064601","Census Tract 646.01; Brevard County; Florida","7991","996",
"1400000US12009064602","Census Tract 646.02; Brevard County; Florida","2497","354",
"1400000US12009064701","Census Tract 647.01; Brevard County; Florida","2924","515",
"1400000US12009064702","Census Tract 647.02; Brevard County; Florida","1426","203",
"1400000US12009064800","Census Tract 648; Brevard County; Florida","3253","459",
"1400000US12009064901","Census Tract 649.01; Brevard County; Florida","7668","759",
"1400000US12009064902","Census Tract 649.02; Brevard County; Florida","4815","764",
"1400000US12009065001","Census Tract 650.01; Brevard County; Florida","4680","521",
"1400000US12009065022","Census Tract 650.22; Brevard County; Florida","5413","765",
"1400000US12009065023","Census Tract 650.23; Brevard County; Florida","4443","632",
"1400000US12009065024","Census Tract 650.24; Brevard County; Florida","6889","970",
"1400000US12009065025","Census Tract 650.25; Brevard County; Florida","1903","243",
"1400000US12009065123","Census Tract 651.23; Brevard County; Florida","3807","521",
"1400000US12009065124","Census Tract 651.24; Brevard County; Florida","2771","628",
"1400000US12009065126","Census Tract 651.26; Brevard County; Florida","3389","512",
"1400000US12009065127","Census Tract 651.27; Brevard County; Florida","4735","945",
"1400000US12009065128","Census Tract 651.28; Brevard County; Florida","3413","601",
"1400000US12009065129","Census Tract 651.29; Brevard County; Florida","4563","645",
"1400000US12009065130","Census Tract 651.30; Brevard County; Florida","3522","729",
"1400000US12009065131","Census Tract 651.31; Brevard County; Florida","3195","381",
"1400000US12009065201","Census Tract 652.01; Brevard County; Florida","5159","665",
"1400000US12009065202","Census Tract 652.02; Brevard County; Florida","6388","943",
"1400000US12009065231","Census Tract 652.31; Brevard County; Florida","6645","628",
"1400000US12009065236","Census Tract 652.36; Brevard County; Florida","2474","387",
"1400000US12009065237","Census Tract 652.37; Brevard County; Florida","3209","606",
"1400000US12009065238","Census Tract 652.38; Brevard County; Florida","514","252",
"1400000US12009065239","Census Tract 652.39; Brevard County; Florida","3169","366",
"1400000US12009065240","Census Tract 652.40; Brevard County; Florida","2264","315",
"1400000US12009066101","Census Tract 661.01; Brevard County; Florida","4282","356",
"1400000US12009066103","Census Tract 661.03; Brevard County; Florida","2264","497",
"1400000US12009066104","Census Tract 661.04; Brevard County; Florida","4753","691",
"1400000US12009066200","Census Tract 662; Brevard County; Florida","2944","93",
"1400000US12009066301","Census Tract 663.01; Brevard County; Florida","6477","768",
"1400000US12009066302","Census Tract 663.02; Brevard County; Florida","4588","925",
"1400000US12009066400","Census Tract 664; Brevard County; Florida","5534","409",
"1400000US12009066500","Census Tract 665; Brevard County; Florida","3786","384",
"1400000US12009066600","Census Tract 666; Brevard County; Florida","4721","523",
"1400000US12009066700","Census Tract 667; Brevard County; Florida","4964","614",
"1400000US12009066800","Census Tract 668; Brevard County; Florida","1828","272",
"1400000US12009066900","Census Tract 669; Brevard County; Florida","6830","779",
"1400000US12009067100","Census Tract 671; Brevard County; Florida","1644","263",
"1400000US12009068101","Census Tract 681.01; Brevard County; Florida","3446","440",
"1400000US12009068102","Census Tract 681.02; Brevard County; Florida","2377","444",
"1400000US12009068400","Census Tract 684; Brevard County; Florida","1921","358",
"1400000US12009068501","Census Tract 685.01; Brevard County; Florida","2262","343",
"1400000US12009068502","Census Tract 685.02; Brevard County; Florida","2344","388",
"1400000US12009068601","Census Tract 686.01; Brevard County; Florida","2441","386",
"1400000US12009068603","Census Tract 686.03; Brevard County; Florida","1532","299",
"1400000US12009068604","Census Tract 686.04; Brevard County; Florida","2058","363",
"1400000US12009069100","Census Tract 691; Brevard County; Florida","4683","783",
"1400000US12009069200","Census Tract 692; Brevard County; Florida","2408","413",
"1400000US12009069300","Census Tract 693; Brevard County; Florida","2949","566",
"1400000US12009069400","Census Tract 694; Brevard County; Florida","6643","909",
"1400000US12009069700","Census Tract 697; Brevard County; Florida","2782","532",
"1400000US12009069801","Census Tract 698.01; Brevard County; Florida","3804","472",
"1400000US12009069802","Census Tract 698.02; Brevard County; Florida","3948","715",
"1400000US12009069903","Census Tract 699.03; Brevard County; Florida","3100","462",
"1400000US12009069904","Census Tract 699.04; Brevard County; Florida","5925","744",
"1400000US12009069905","Census Tract 699.05; Brevard County; Florida","0","15",
"1400000US12009069906","Census Tract 699.06; Brevard County; Florida","1948","636",
"1400000US12009069907","Census Tract 699.07; Brevard County; Florida","2873","347",
"1400000US12009071100","Census Tract 711; Brevard County; Florida","4121","552",
"1400000US12009071201","Census Tract 712.01; Brevard County; Florida","8263","857",
"1400000US12009071202","Census Tract 712.02; Brevard County; Florida","1760","272",
"1400000US12009071203","Census Tract 712.03; Brevard County; Florida","3905","1436",
"1400000US12009071204","Census Tract 712.04; Brevard County; Florida","224","198",
"1400000US12009071205","Census Tract 712.05; Brevard County; Florida","6353","1109",
"1400000US12009071335","Census Tract 713.35; Brevard County; Florida","5492","932",
"1400000US12009071337","Census Tract 713.37; Brevard County; Florida","6866","905",
"1400000US12009071339","Census Tract 713.39; Brevard County; Florida","9658","1128",
"1400000US12009071341","Census Tract 713.41; Brevard County; Florida","8005","740",
"1400000US12009071342","Census Tract 713.42; Brevard County; Florida","4361","728",
"1400000US12009071343","Census Tract 713.43; Brevard County; Florida","5888","2146",
"1400000US12009071344","Census Tract 713.44; Brevard County; Florida","5507","643",
"1400000US12009071345","Census Tract 713.45; Brevard County; Florida","7903","933",
"1400000US12009071346","Census Tract 713.46; Brevard County; Florida","8923","1410",
"1400000US12009071347","Census Tract 713.47; Brevard County; Florida","7897","1176",
"1400000US12009071348","Census Tract 713.48; Brevard County; Florida","9472","1148",
"1400000US12009071349","Census Tract 713.49; Brevard County; Florida","5285","1027",
"1400000US12009071350","Census Tract 713.50; Brevard County; Florida","6345","658",
"1400000US12009071351","Census Tract 713.51; Brevard County; Florida","3232","503",
"1400000US12009071352","Census Tract 713.52; Brevard County; Florida","4138","1111",
"1400000US12009071353","Census Tract 713.53; Brevard County; Florida","9032","782",
"1400000US12009071354","Census Tract 713.54; Brevard County; Florida","7570","861",
"1400000US12009071401","Census Tract 714.01; Brevard County; Florida","1479","166",
"1400000US12009071402","Census Tract 714.02; Brevard County; Florida","1922","452",
"1400000US12009071500","Census Tract 715; Brevard County; Florida","2672","426",
"1400000US12009071601","Census Tract 716.01; Brevard County; Florida","2170","197",
"1400000US12009071602","Census Tract 716.02; Brevard County; Florida","3139","880",
"1400000US12009071700","Census Tract 717; Brevard County; Florida","5778","428",
"1400000US12009980000","Census Tract 9800; Brevard County; Florida","20","3",
"1400000US12009980100","Census Tract 9801; Brevard County; Florida","0","15",
"1400000US12009990000","Census Tract 9900; Brevard County; Florida","0","15",
"1400000US12011010102","Census Tract 101.02; Broward County; Florida","2847","358",
"1400000US12011010103","Census Tract 101.03; Broward County; Florida","3577","668",
"1400000US12011010104","Census Tract 101.04; Broward County; Florida","1995","396",
"1400000US12011010201","Census Tract 102.01; Broward County; Florida","3008","826",
"1400000US12011010202","Census Tract 102.02; Broward County; Florida","3594","674",
"1400000US12011010304","Census Tract 103.04; Broward County; Florida","4029","682",
"1400000US12011010305","Census Tract 103.05; Broward County; Florida","6368","924",
"1400000US12011010306","Census Tract 103.06; Broward County; Florida","2934","476",
"1400000US12011010307","Census Tract 103.07; Broward County; Florida","4948","1094",
"1400000US12011010308","Census Tract 103.08; Broward County; Florida","4745","838",
"1400000US12011010401","Census Tract 104.01; Broward County; Florida","5650","943",
"1400000US12011010402","Census Tract 104.02; Broward County; Florida","3539","536",
"1400000US12011010403","Census Tract 104.03; Broward County; Florida","4633","668",
"1400000US12011010405","Census Tract 104.05; Broward County; Florida","10009","1112",
"1400000US12011010406","Census Tract 104.06; Broward County; Florida","4313","950",
"1400000US12011010407","Census Tract 104.07; Broward County; Florida","6307","1067",
"1400000US12011010502","Census Tract 105.02; Broward County; Florida","3627","450",
"1400000US12011010503","Census Tract 105.03; Broward County; Florida","25856","1245",
"1400000US12011010504","Census Tract 105.04; Broward County; Florida","5887","654",
"1400000US12011010601","Census Tract 106.01; Broward County; Florida","8151","1128",
"1400000US12011010603","Census Tract 106.03; Broward County; Florida","5561","673",
"1400000US12011010604","Census Tract 106.04; Broward County; Florida","4171","449",
"1400000US12011010605","Census Tract 106.05; Broward County; Florida","7479","1434",
"1400000US12011010606","Census Tract 106.06; Broward County; Florida","8005","954",
"1400000US12011010609","Census Tract 106.09; Broward County; Florida","4926","705",
"1400000US12011010610","Census Tract 106.10; Broward County; Florida","6846","1217",
"1400000US12011010611","Census Tract 106.11; Broward County; Florida","3826","565",
"1400000US12011010612","Census Tract 106.12; Broward County; Florida","6617","1176",
"1400000US12011010613","Census Tract 106.13; Broward County; Florida","2508","478",
"1400000US12011010614","Census Tract 106.14; Broward County; Florida","2520","248",
"1400000US12011010615","Census Tract 106.15; Broward County; Florida","5021","1197",
"1400000US12011010701","Census Tract 107.01; Broward County; Florida","5679","954",
"1400000US12011010702","Census Tract 107.02; Broward County; Florida","10775","1592",
"1400000US12011010800","Census Tract 108; Broward County; Florida","8505","1509",
"1400000US12011010901","Census Tract 109.01; Broward County; Florida","2317","317",
"1400000US12011010902","Census Tract 109.02; Broward County; Florida","3236","392",
"1400000US12011011000","Census Tract 110; Broward County; Florida","2271","361",
"1400000US12011020101","Census Tract 201.01; Broward County; Florida","8934","1031",
"1400000US12011020103","Census Tract 201.03; Broward County; Florida","5415","665",
"1400000US12011020104","Census Tract 201.04; Broward County; Florida","2804","460",
"1400000US12011020204","Census Tract 202.04; Broward County; Florida","6295","704",
"1400000US12011020205","Census Tract 202.05; Broward County; Florida","6513","725",
"1400000US12011020206","Census Tract 202.06; Broward County; Florida","4928","770",
"1400000US12011020209","Census Tract 202.09; Broward County; Florida","2199","209",
"1400000US12011020210","Census Tract 202.10; Broward County; Florida","5919","922",
"1400000US12011020211","Census Tract 202.11; Broward County; Florida","2823","773",
"1400000US12011020212","Census Tract 202.12; Broward County; Florida","4024","1111",
"1400000US12011020213","Census Tract 202.13; Broward County; Florida","3709","978",
"1400000US12011020214","Census Tract 202.14; Broward County; Florida","2606","473",
"1400000US12011020302","Census Tract 203.02; Broward County; Florida","9316","1388",
"1400000US12011020308","Census Tract 203.08; Broward County; Florida","5746","1073",
"1400000US12011020309","Census Tract 203.09; Broward County; Florida","5775","982",
"1400000US12011020311","Census Tract 203.11; Broward County; Florida","3738","591",
"1400000US12011020312","Census Tract 203.12; Broward County; Florida","5158","617",
"1400000US12011020313","Census Tract 203.13; Broward County; Florida","6204","808",
"1400000US12011020314","Census Tract 203.14; Broward County; Florida","5994","994",
"1400000US12011020315","Census Tract 203.15; Broward County; Florida","5628","1082",
"1400000US12011020316","Census Tract 203.16; Broward County; Florida","4461","638",
"1400000US12011020317","Census Tract 203.17; Broward County; Florida","2822","345",
"1400000US12011020318","Census Tract 203.18; Broward County; Florida","10817","1381",
"1400000US12011020319","Census Tract 203.19; Broward County; Florida","6982","960",
"1400000US12011020320","Census Tract 203.20; Broward County; Florida","4929","620",
"1400000US12011020321","Census Tract 203.21; Broward County; Florida","2113","805",
"1400000US12011020322","Census Tract 203.22; Broward County; Florida","4503","1060",
"1400000US12011020323","Census Tract 203.23; Broward County; Florida","3870","637",
