"GEO_ID","NAME","B25001_001E","B25001_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US12","Florida","10256470","942",
"1400000US12001000201","Census Tract 2.01; Alachua County; Florida","2499","320",
"1400000US12001000202","Census Tract 2.02; Alachua County; Florida","1987","346",
"1400000US12001000301","Census Tract 3.01; Alachua County; Florida","2170","268",
"1400000US12001000302","Census Tract 3.02; Alachua County; Florida","1408","157",
"1400000US12001000400","Census Tract 4; Alachua County; Florida","2544","400",
"1400000US12001000500","Census Tract 5; Alachua County; Florida","2980","175",
"1400000US12001000600","Census Tract 6; Alachua County; Florida","1928","304",
"1400000US12001000700","Census Tract 7; Alachua County; Florida","2795","258",
"1400000US12001000806","Census Tract 8.06; Alachua County; Florida","1700","181",
"1400000US12001000808","Census Tract 8.08; Alachua County; Florida","1857","148",
"1400000US12001000809","Census Tract 8.09; Alachua County; Florida","980","159",
"1400000US12001000901","Census Tract 9.01; Alachua County; Florida","589","120",
"1400000US12001000902","Census Tract 9.02; Alachua County; Florida","178","55",
"1400000US12001001000","Census Tract 10; Alachua County; Florida","3886","361",
"1400000US12001001100","Census Tract 11; Alachua County; Florida","3208","199",
"1400000US12001001201","Census Tract 12.01; Alachua County; Florida","1407","245",
"1400000US12001001202","Census Tract 12.02; Alachua County; Florida","3362","220",
"1400000US12001001203","Census Tract 12.03; Alachua County; Florida","1823","169",
"1400000US12001001400","Census Tract 14; Alachua County; Florida","989","92",
"1400000US12001001514","Census Tract 15.14; Alachua County; Florida","1285","159",
"1400000US12001001515","Census Tract 15.15; Alachua County; Florida","3337","326",
"1400000US12001001516","Census Tract 15.16; Alachua County; Florida","1728","181",
"1400000US12001001517","Census Tract 15.17; Alachua County; Florida","2972","287",
"1400000US12001001519","Census Tract 15.19; Alachua County; Florida","996","136",
"1400000US12001001522","Census Tract 15.22; Alachua County; Florida","4699","370",
"1400000US12001001605","Census Tract 16.05; Alachua County; Florida","4829","388",
"1400000US12001001701","Census Tract 17.01; Alachua County; Florida","3661","341",
"1400000US12001001702","Census Tract 17.02; Alachua County; Florida","2497","437",
"1400000US12001001802","Census Tract 18.02; Alachua County; Florida","1355","194",
"1400000US12001001803","Census Tract 18.03; Alachua County; Florida","3009","241",
"1400000US12001001811","Census Tract 18.11; Alachua County; Florida","3208","358",
"1400000US12001001813","Census Tract 18.13; Alachua County; Florida","1648","231",
"1400000US12001001815","Census Tract 18.15; Alachua County; Florida","881","110",
"1400000US12001001816","Census Tract 18.16; Alachua County; Florida","2223","215",
"1400000US12001001817","Census Tract 18.17; Alachua County; Florida","2228","226",
"1400000US12001001818","Census Tract 18.18; Alachua County; Florida","1907","229",
"1400000US12001001819","Census Tract 18.19; Alachua County; Florida","2326","303",
"1400000US12001001902","Census Tract 19.02; Alachua County; Florida","1562","203",
"1400000US12001001907","Census Tract 19.07; Alachua County; Florida","1472","256",
"1400000US12001001908","Census Tract 19.08; Alachua County; Florida","2412","402",
"1400000US12001002001","Census Tract 20.01; Alachua County; Florida","772","141",
"1400000US12001002002","Census Tract 20.02; Alachua County; Florida","1838","188",
"1400000US12001002101","Census Tract 21.01; Alachua County; Florida","1043","174",
"1400000US12001002102","Census Tract 21.02; Alachua County; Florida","593","134",
"1400000US12001002201","Census Tract 22.01; Alachua County; Florida","2436","239",
"1400000US12001002202","Census Tract 22.02; Alachua County; Florida","2813","321",
"1400000US12001002204","Census Tract 22.04; Alachua County; Florida","5476","476",
"1400000US12001002207","Census Tract 22.07; Alachua County; Florida","1480","211",
"1400000US12001002208","Census Tract 22.08; Alachua County; Florida","1164","143",
"1400000US12001002209","Census Tract 22.09; Alachua County; Florida","3506","388",
"1400000US12001002210","Census Tract 22.10; Alachua County; Florida","2248","250",
"1400000US12001002217","Census Tract 22.17; Alachua County; Florida","3411","551",
"1400000US12001002218","Census Tract 22.18; Alachua County; Florida","1605","173",
"1400000US12001002219","Census Tract 22.19; Alachua County; Florida","3141","335",
"1400000US12001002220","Census Tract 22.20; Alachua County; Florida","1209","135",
"1400000US12001002221","Census Tract 22.21; Alachua County; Florida","2327","344",
"1400000US12001002222","Census Tract 22.22; Alachua County; Florida","3149","353",
"1400000US12001110800","Census Tract 1108; Alachua County; Florida","995","117",
"1400000US12003040101","Census Tract 401.01; Baker County; Florida","2811","381",
"1400000US12003040102","Census Tract 401.02; Baker County; Florida","3205","287",
"1400000US12003040201","Census Tract 402.01; Baker County; Florida","2048","296",
"1400000US12003040202","Census Tract 402.02; Baker County; Florida","2084","233",
"1400000US12005000201","Census Tract 2.01; Bay County; Florida","2455","287",
"1400000US12005000203","Census Tract 2.03; Bay County; Florida","1419","243",
"1400000US12005000204","Census Tract 2.04; Bay County; Florida","1662","212",
"1400000US12005000301","Census Tract 3.01; Bay County; Florida","1097","321",
"1400000US12005000302","Census Tract 3.02; Bay County; Florida","2855","279",
