"GEO_ID","NAME","B25044_001E","B25044_001M","B25044_002E","B25044_002M","B25044_003E","B25044_003M","B25044_004E","B25044_004M","B25044_005E","B25044_005M","B25044_006E","B25044_006M","B25044_007E","B25044_007M","B25044_008E","B25044_008M","B25044_009E","B25044_009M","B25044_010E","B25044_010M","B25044_011E","B25044_011M","B25044_012E","B25044_012M","B25044_013E","B25044_013M","B25044_014E","B25044_014M","B25044_015E","B25044_015M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied:","Margin of Error!!Total:!!Owner occupied:","Estimate!!Total:!!Owner occupied:!!No vehicle available","Margin of Error!!Total:!!Owner occupied:!!No vehicle available","Estimate!!Total:!!Owner occupied:!!1 vehicle available","Margin of Error!!Total:!!Owner occupied:!!1 vehicle available","Estimate!!Total:!!Owner occupied:!!2 vehicles available","Margin of Error!!Total:!!Owner occupied:!!2 vehicles available","Estimate!!Total:!!Owner occupied:!!3 vehicles available","Margin of Error!!Total:!!Owner occupied:!!3 vehicles available","Estimate!!Total:!!Owner occupied:!!4 vehicles available","Margin of Error!!Total:!!Owner occupied:!!4 vehicles available","Estimate!!Total:!!Owner occupied:!!5 or more vehicles available","Margin of Error!!Total:!!Owner occupied:!!5 or more vehicles available","Estimate!!Total:!!Renter occupied:","Margin of Error!!Total:!!Renter occupied:","Estimate!!Total:!!Renter occupied:!!No vehicle available","Margin of Error!!Total:!!Renter occupied:!!No vehicle available","Estimate!!Total:!!Renter occupied:!!1 vehicle available","Margin of Error!!Total:!!Renter occupied:!!1 vehicle available","Estimate!!Total:!!Renter occupied:!!2 vehicles available","Margin of Error!!Total:!!Renter occupied:!!2 vehicles available","Estimate!!Total:!!Renter occupied:!!3 vehicles available","Margin of Error!!Total:!!Renter occupied:!!3 vehicles available","Estimate!!Total:!!Renter occupied:!!4 vehicles available","Margin of Error!!Total:!!Renter occupied:!!4 vehicles available","Estimate!!Total:!!Renter occupied:!!5 or more vehicles available","Margin of Error!!Total:!!Renter occupied:!!5 or more vehicles available",
"0400000US12","Florida","8752810","20285","5918647","31594","181276","3696","2015555","13762","2487951","19462","871784","8747","266303","4437","95778","2737","2834163","17461","341470","5603","1388782","12279","850869","9966","192868","4385","46783","2296","13391","1228",
"1400000US12001000201","Census Tract 2.01; Alachua County; Florida","2308","306","218","115","12","23","127","98","61","48","18","33","0","21","0","21","2090","322","476","252","625","231","490","323","333","222","50","54","116","120",
"1400000US12001000202","Census Tract 2.02; Alachua County; Florida","1860","373","167","70","58","14","43","26","66","71","0","21","0","21","0","21","1693","379","409","254","488","177","381","144","339","242","76","84","0","21",
"1400000US12001000301","Census Tract 3.01; Alachua County; Florida","1952","249","499","134","58","69","191","95","163","89","87","66","0","15","0","15","1453","248","217","136","611","246","414","150","211","106","0","15","0","15",
"1400000US12001000302","Census Tract 3.02; Alachua County; Florida","1363","163","706","148","46","52","327","158","250","101","40","37","43","58","0","15","657","151","112","75","405","147","140","85","0","15","0","15","0","15",
"1400000US12001000400","Census Tract 4; Alachua County; Florida","2341","429","1132","287","42","57","384","128","371","173","232","197","103","98","0","21","1209","379","385","221","611","357","197","158","16","37","0","21","0","21",
"1400000US12001000500","Census Tract 5; Alachua County; Florida","2796","214","1348","176","52","55","639","186","480","204","107","90","70","100","0","15","1448","170","248","126","982","227","214","146","0","15","4","12","0","15",
"1400000US12001000600","Census Tract 6; Alachua County; Florida","1734","298","744","142","0","15","351","127","280","98","79","43","34","38","0","15","990","282","351","213","342","159","174","117","123","152","0","15","0","15",
"1400000US12001000700","Census Tract 7; Alachua County; Florida","2512","286","1477","335","36","37","493","191","729","239","78","84","141","103","0","21","1035","327","281","194","698","279","17","31","39","47","0","21","0","21",
"1400000US12001000806","Census Tract 8.06; Alachua County; Florida","1491","183","154","130","0","15","87","98","0","15","67","91","0","15","0","15","1337","181","282","134","506","141","285","121","180","147","84","104","0","15",
"1400000US12001000808","Census Tract 8.08; Alachua County; Florida","1699","158","229","66","0","15","67","52","93","59","69","53","0","15","0","15","1470","166","122","102","642","193","481","152","203","132","22","34","0","15",
"1400000US12001000809","Census Tract 8.09; Alachua County; Florida","791","148","148","47","9","14","110","44","29","20","0","15","0","15","0","15","643","142","15","20","465","127","132","75","0","15","0","15","31","40",
"1400000US12001000901","Census Tract 9.01; Alachua County; Florida","237","99","0","15","0","15","0","15","0","15","0","15","0","15","0","15","237","99","118","84","94","53","25","26","0","15","0","15","0","15",
"1400000US12001000902","Census Tract 9.02; Alachua County; Florida","164","52","0","21","0","21","0","21","0","21","0","21","0","21","0","21","164","52","50","32","113","55","1","3","0","21","0","21","0","21",
"1400000US12001001000","Census Tract 10; Alachua County; Florida","3509","388","1143","268","0","21","420","171","383","117","58","58","274","213","8","18","2366","324","229","147","1248","342","483","199","300","214","42","68","64","75",
"1400000US12001001100","Census Tract 11; Alachua County; Florida","2940","238","2183","247","52","62","745","189","946","239","275","115","165","77","0","21","757","195","163","83","340","177","254","135","0","21","0","21","0","21",
"1400000US12001001201","Census Tract 12.01; Alachua County; Florida","1358","226","953","240","45","43","374","189","357","134","131","76","46","54","0","15","405","160","0","15","207","78","174","173","17","30","7","12","0","15",
"1400000US12001001202","Census Tract 12.02; Alachua County; Florida","3217","255","2434","243","0","21","1002","221","957","241","388","167","26","40","61","67","783","196","19","29","475","168","211","124","78","64","0","21","0","21",
"1400000US12001001203","Census Tract 12.03; Alachua County; Florida","1619","191","718","183","12","16","268","98","376","158","47","39","6","24","9","14","901","164","79","61","424","130","341","133","57","46","0","15","0","15",
"1400000US12001001400","Census Tract 14; Alachua County; Florida","896","109","604","117","0","15","224","81","236","95","72","46","36","31","36","54","292","98","32","49","160","77","88","57","12","13","0","15","0","15",
"1400000US12001001514","Census Tract 15.14; Alachua County; Florida","1080","182","23","29","18","27","5","8","0","15","0","15","0","15","0","15","1057","183","72","65","499","136","397","123","89","111","0","15","0","15",
"1400000US12001001515","Census Tract 15.15; Alachua County; Florida","2932","370","177","117","0","21","23","27","137","122","17","26","0","21","0","21","2755","343","276","208","1344","286","647","253","353","198","135","121","0","21",
"1400000US12001001516","Census Tract 15.16; Alachua County; Florida","1562","218","314","117","15","23","155","97","112","89","0","15","32","53","0","15","1248","201","118","84","768","193","253","168","38","36","71","88","0","15",
"1400000US12001001517","Census Tract 15.17; Alachua County; Florida","2597","277","188","96","0","21","79","67","59","55","50","62","0","21","0","21","2409","283","297","180","1105","299","640","239","234","201","133","102","0","21",
"1400000US12001001519","Census Tract 15.19; Alachua County; Florida","882","134","41","11","0","15","36","6","5","10","0","15","0","15","0","15","841","134","113","50","423","123","189","75","62","44","54","57","0","15",
"1400000US12001001522","Census Tract 15.22; Alachua County; Florida","4386","407","505","251","232","216","147","134","126","109","0","21","0","21","0","21","3881","442","453","273","2016","473","1188","383","224","242","0","21","0","21",
"1400000US12001001605","Census Tract 16.05; Alachua County; Florida","4022","494","1311","318","0","21","650","289","220","131","362","208","48","78","31","48","2711","505","241","217","1124","408","1012","441","177","161","33","57","124","186",
"1400000US12001001701","Census Tract 17.01; Alachua County; Florida","3402","335","1314","229","8","13","607","188","423","138","224","140","24","41","28","37","2088","351","579","201","743","272","726","236","40","53","0","21","0","21",
"1400000US12001001702","Census Tract 17.02; Alachua County; Florida","2361","428","1970","399","83","83","687","323","905","219","191","113","49","70","55","63","391","157","47","47","156","82","72","67","101","120","0","21","15","23",
"1400000US12001001802","Census Tract 18.02; Alachua County; Florida","1192","210","1021","199","14","20","395","178","307","102","277","139","28","29","0","15","171","97","0","15","108","110","25","33","24","32","14","21","0","15",
"1400000US12001001803","Census Tract 18.03; Alachua County; Florida","2802","253","2369","250","61","68","1009","265","905","294","303","175","65","73","26","47","433","151","80","100","256","104","97","86","0","21","0","21","0","21",
"1400000US12001001811","Census Tract 18.11; Alachua County; Florida","3147","356","1216","177","0","21","327","137","449","137","351","151","89","62","0","21","1931","331","397","254","756","228","638","221","140","138","0","21","0","21",
"1400000US12001001813","Census Tract 18.13; Alachua County; Florida","1648","231","1441","244","0","15","379","138","846","211","216","98","0","15","0","15","207","122","0","15","0","15","173","112","34","48","0","15","0","15",
"1400000US12001001815","Census Tract 18.15; Alachua County; Florida","792","100","695","106","18","28","151","80","309","102","157","77","53","73","7","14","97","80","33","60","5","8","50","48","9","14","0","15","0","15",
"1400000US12001001816","Census Tract 18.16; Alachua County; Florida","1990","191","1673","195","19","31","383","140","882","206","321","127","62","48","6","16","317","152","44","48","182","119","61","53","9","17","0","21","21","33",
"1400000US12001001817","Census Tract 18.17; Alachua County; Florida","2111","230","1973","221","33","41","677","208","948","279","166","108","119","85","30","38","138","105","75","90","0","15","25","28","20","33","0","15","18","28",
"1400000US12001001818","Census Tract 18.18; Alachua County; Florida","1675","202","1493","228","28","31","246","127","635","193","366","133","218","113","0","21","182","121","0","21","114","80","20","35","48","60","0","21","0","21",
"1400000US12001001819","Census Tract 18.19; Alachua County; Florida","2216","303","1346","236","30","36","271","122","750","222","163","93","97","58","35","36","870","310","143","115","582","298","105","97","40","41","0","15","0","15",
"1400000US12001001902","Census Tract 19.02; Alachua County; Florida","1361","216","578","186","37","46","359","152","153","94","14","29","15","31","0","15","783","246","192","120","342","230","249","245","0","15","0","15","0","15",
"1400000US12001001907","Census Tract 19.07; Alachua County; Florida","1237","261","923","206","7","12","186","85","431","157","218","99","19","28","62","37","314","150","8","12","235","141","67","58","2","9","2","4","0","15",
"1400000US12001001908","Census Tract 19.08; Alachua County; Florida","2159","416","1669","394","45","69","460","188","817","354","260","105","68","71","19","30","490","275","3","7","135","115","315","233","37","56","0","21","0","21",
