"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"0400000US12","Florida","74568","284",
"1400000US12001000201","Census Tract 2.01; Alachua County; Florida","16515","13695",
"1400000US12001000202","Census Tract 2.02; Alachua County; Florida","14811","3295",
"1400000US12001000301","Census Tract 3.01; Alachua County; Florida","50618","4742",
"1400000US12001000302","Census Tract 3.02; Alachua County; Florida","42802","7215",
"1400000US12001000400","Census Tract 4; Alachua County; Florida","49661","23330",
"1400000US12001000500","Census Tract 5; Alachua County; Florida","62688","18479",
"1400000US12001000600","Census Tract 6; Alachua County; Florida","29618","3564",
"1400000US12001000700","Census Tract 7; Alachua County; Florida","33611","12117",
"1400000US12001000806","Census Tract 8.06; Alachua County; Florida","20483","3317",
"1400000US12001000808","Census Tract 8.08; Alachua County; Florida","53681","6868",
"1400000US12001000809","Census Tract 8.09; Alachua County; Florida","40778","12432",
"1400000US12001000901","Census Tract 9.01; Alachua County; Florida","27438","13639",
"1400000US12001000902","Census Tract 9.02; Alachua County; Florida","15278","10278",
"1400000US12001001000","Census Tract 10; Alachua County; Florida","31517","7817",
"1400000US12001001100","Census Tract 11; Alachua County; Florida","116777","14464",
"1400000US12001001201","Census Tract 12.01; Alachua County; Florida","61753","14784",
"1400000US12001001202","Census Tract 12.02; Alachua County; Florida","67824","9689",
"1400000US12001001203","Census Tract 12.03; Alachua County; Florida","70037","15634",
"1400000US12001001400","Census Tract 14; Alachua County; Florida","44348","6845",
"1400000US12001001514","Census Tract 15.14; Alachua County; Florida","31442","24075",
"1400000US12001001515","Census Tract 15.15; Alachua County; Florida","40075","5234",
"1400000US12001001516","Census Tract 15.16; Alachua County; Florida","29046","8318",
"1400000US12001001517","Census Tract 15.17; Alachua County; Florida","48870","5707",
"1400000US12001001519","Census Tract 15.19; Alachua County; Florida","52375","9712",
"1400000US12001001522","Census Tract 15.22; Alachua County; Florida","30719","2576",
"1400000US12001001605","Census Tract 16.05; Alachua County; Florida","37727","11694",
"1400000US12001001701","Census Tract 17.01; Alachua County; Florida","88668","13685",
"1400000US12001001702","Census Tract 17.02; Alachua County; Florida","86754","21466",
"1400000US12001001802","Census Tract 18.02; Alachua County; Florida","55344","7592",
"1400000US12001001803","Census Tract 18.03; Alachua County; Florida","85567","13206",
"1400000US12001001811","Census Tract 18.11; Alachua County; Florida","88917","10779",
"1400000US12001001813","Census Tract 18.13; Alachua County; Florida","108552","5070",
"1400000US12001001815","Census Tract 18.15; Alachua County; Florida","84732","32832",
"1400000US12001001816","Census Tract 18.16; Alachua County; Florida","83451","16493",
"1400000US12001001817","Census Tract 18.17; Alachua County; Florida","101166","6081",
"1400000US12001001818","Census Tract 18.18; Alachua County; Florida","107835","23186",
"1400000US12001001819","Census Tract 18.19; Alachua County; Florida","71042","9676",
"1400000US12001001902","Census Tract 19.02; Alachua County; Florida","38193","1554",
"1400000US12001001907","Census Tract 19.07; Alachua County; Florida","47198","15114",
"1400000US12001001908","Census Tract 19.08; Alachua County; Florida","68064","16921",
"1400000US12001002001","Census Tract 20.01; Alachua County; Florida","55018","24410",
"1400000US12001002002","Census Tract 20.02; Alachua County; Florida","47015","9720",
"1400000US12001002101","Census Tract 21.01; Alachua County; Florida","81659","13244",
"1400000US12001002102","Census Tract 21.02; Alachua County; Florida","64350","18842",
"1400000US12001002201","Census Tract 22.01; Alachua County; Florida","105198","19115",
"1400000US12001002202","Census Tract 22.02; Alachua County; Florida","76779","36128",
"1400000US12001002204","Census Tract 22.04; Alachua County; Florida","107556","8912",
"1400000US12001002207","Census Tract 22.07; Alachua County; Florida","144327","34537",
"1400000US12001002208","Census Tract 22.08; Alachua County; Florida","142431","35241",
"1400000US12001002209","Census Tract 22.09; Alachua County; Florida","106979","19243",
"1400000US12001002210","Census Tract 22.10; Alachua County; Florida","77885","11793",
"1400000US12001002217","Census Tract 22.17; Alachua County; Florida","38668","9236",
"1400000US12001002218","Census Tract 22.18; Alachua County; Florida","46973","17367",
"1400000US12001002219","Census Tract 22.19; Alachua County; Florida","65933","10543",
"1400000US12001002220","Census Tract 22.20; Alachua County; Florida","74318","31914",
"1400000US12001002221","Census Tract 22.21; Alachua County; Florida","98602","22175",
"1400000US12001002222","Census Tract 22.22; Alachua County; Florida","140430","28311",
"1400000US12001110800","Census Tract 1108; Alachua County; Florida","105000","18943",
"1400000US12003040101","Census Tract 401.01; Baker County; Florida","78200","36110",
"1400000US12003040102","Census Tract 401.02; Baker County; Florida","67172","32688",
"1400000US12003040201","Census Tract 402.01; Baker County; Florida","59975","15209",
"1400000US12003040202","Census Tract 402.02; Baker County; Florida","88401","9530",
"1400000US12005000201","Census Tract 2.01; Bay County; Florida","70000","13180",
"1400000US12005000203","Census Tract 2.03; Bay County; Florida","60585","12304",
"1400000US12005000204","Census Tract 2.04; Bay County; Florida","86292","15848",
"1400000US12005000301","Census Tract 3.01; Bay County; Florida","51824","19778",
"1400000US12005000302","Census Tract 3.02; Bay County; Florida","57329","10040",
"1400000US12005000401","Census Tract 4.01; Bay County; Florida","56709","8874",
"1400000US12005000402","Census Tract 4.02; Bay County; Florida","80890","11551",
"1400000US12005000500","Census Tract 5; Bay County; Florida","85618","15562",
"1400000US12005000600","Census Tract 6; Bay County; Florida","63864","15328",
"1400000US12005000700","Census Tract 7; Bay County; Florida","118594","92873",
"1400000US12005000803","Census Tract 8.03; Bay County; Florida","55541","2441",
"1400000US12005000804","Census Tract 8.04; Bay County; Florida","72279","13087",
"1400000US12005000805","Census Tract 8.05; Bay County; Florida","64419","16601",
"1400000US12005000806","Census Tract 8.06; Bay County; Florida","81462","5456",
"1400000US12005000900","Census Tract 9; Bay County; Florida","70417","14891",
"1400000US12005001000","Census Tract 10; Bay County; Florida","54120","25289",
"1400000US12005001100","Census Tract 11; Bay County; Florida","45653","5703",
"1400000US12005001200","Census Tract 12; Bay County; Florida","70000","20996",
"1400000US12005001301","Census Tract 13.01; Bay County; Florida","100375","12937",
"1400000US12005001302","Census Tract 13.02; Bay County; Florida","79173","6365",
"1400000US12005001402","Census Tract 14.02; Bay County; Florida","114922","19920",
"1400000US12005001403","Census Tract 14.03; Bay County; Florida","79922","17129",
"1400000US12005001404","Census Tract 14.04; Bay County; Florida","65259","12982",
"1400000US12005001501","Census Tract 15.01; Bay County; Florida","86875","28166",
"1400000US12005001502","Census Tract 15.02; Bay County; Florida","82238","14441",
"1400000US12005001600","Census Tract 16; Bay County; Florida","28359","13777",
"1400000US12005001700","Census Tract 17; Bay County; Florida","50089","5529",
"1400000US12005001800","Census Tract 18; Bay County; Florida","60826","11803",
"1400000US12005001900","Census Tract 19; Bay County; Florida","79181","5631",
"1400000US12005002000","Census Tract 20; Bay County; Florida","28269","7672",
"1400000US12005002200","Census Tract 22; Bay County; Florida","46885","9683",
"1400000US12005002300","Census Tract 23; Bay County; Florida","81643","12547",
"1400000US12005002400","Census Tract 24; Bay County; Florida","49775","5138",
"1400000US12005002500","Census Tract 25; Bay County; Florida","99704","17494",
"1400000US12005002604","Census Tract 26.04; Bay County; Florida","71365","8356",
"1400000US12005002605","Census Tract 26.05; Bay County; Florida","81417","21972",
"1400000US12005002606","Census Tract 26.06; Bay County; Florida","85655","9385",
"1400000US12005002607","Census Tract 26.07; Bay County; Florida","55455","19603",
"1400000US12005002608","Census Tract 26.08; Bay County; Florida","86824","7332",
"1400000US12005002609","Census Tract 26.09; Bay County; Florida","97736","22724",
"1400000US12005002703","Census Tract 27.03; Bay County; Florida","83214","20900",
"1400000US12005002706","Census Tract 27.06; Bay County; Florida","77645","11118",
"1400000US12005002707","Census Tract 27.07; Bay County; Florida","85664","20285",
"1400000US12005002708","Census Tract 27.08; Bay County; Florida","82361","48981",
"1400000US12005002709","Census Tract 27.09; Bay County; Florida","80753","4196",
"1400000US12005002710","Census Tract 27.10; Bay County; Florida","76703","15815",
"1400000US12005002711","Census Tract 27.11; Bay County; Florida","72008","14980",
"1400000US12005002712","Census Tract 27.12; Bay County; Florida","82292","9032",
"1400000US12005002713","Census Tract 27.13; Bay County; Florida","74628","14869",
"1400000US12005990000","Census Tract 9900; Bay County; Florida","-","**",
"1400000US12007000100","Census Tract 1; Bradford County; Florida","63031","9405",
"1400000US12007000201","Census Tract 2.01; Bradford County; Florida","69028","29455",
"1400000US12007000202","Census Tract 2.02; Bradford County; Florida","53207","16346",
"1400000US12007000301","Census Tract 3.01; Bradford County; Florida","70313","23468",
